       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 1092.80085     1096.86083     1108.67310     1101.78570     1118.33231     1117.88698     1124.36622     1176.30459     1254.98299     1278.37425     1290.18044     1326.76214     1464.22309     1403.78492     1278.59490     1190.88589     1224.76955     1260.96450     1262.53470     1264.98411     1274.56288     1255.72472     1241.45411     1208.43549     1277.35155     1294.72351     1285.62232     1525.40354     1539.64646     1248.43978     1230.81585     1288.32311     1300.75697     1154.69762     1167.43467     1169.71710     1188.41741     1139.53706     1109.98843     1142.42662     1118.83601     1151.16927     1180.85219     1237.25640     1171.51359     1165.53212     
1957 09 30 927.13863      931.07198      940.24623      935.68162      948.21339      948.98352      954.01625      994.86791      1067.73507     1092.87403     1104.52271     1140.64824     1265.97828     1212.94452     1092.15423     1006.70955     1040.17603     1076.72611     1079.19251     1082.90587     1093.30605     1078.24413     1061.32639     1031.51500     1096.56659     1115.78120     1103.96917     1319.53394     1332.05920     1066.04689     1049.00860     1104.83256     1116.47338     978.49651      990.08122      993.69881      1008.03232     964.63986      943.69659      970.03490      947.10569      972.03400      995.35250      1048.02604     989.31008      982.51716      
1958 09 30 756.59613      760.80112      770.40321      765.71445      778.79416      779.72652      784.99389      827.47076      897.80824      921.16156      932.06528      965.87671      1084.42778     1033.99368     920.60032      840.20360      871.79898      905.92261      908.12130      911.44166      921.06267      906.54084      891.04563      862.80781      924.05358      941.79036      931.07372      1135.37580     1147.28343     895.72510      879.73436      932.09814      943.06980      810.71964      823.00957      826.88050      840.79340      795.98145      774.28912      801.98463      777.46515      803.53455      827.96968      879.44534      821.78289      814.43049      
1959 09 30 1242.19340     1242.10864     1252.77196     1242.78280     1259.25675     1253.48984     1259.33683     1306.85820     1388.05339     1410.08934     1423.24561     1463.95808     1634.10235     1555.88292     1411.87974     1314.95759     1350.14666     1388.99222     1389.23131     1389.82495     1398.93501     1372.13541     1360.90764     1319.56090     1401.20389     1417.14486     1411.66899     1713.49598     1731.88441     1372.27072     1352.05395     1417.64634     1432.53528     1282.28373     1285.88957     1280.22205     1307.82618     1278.60510     1242.28435     1266.06719     1266.91708     1296.99154     1322.51725     1373.61699     1308.26629     1313.18809     
1960 09 30 1048.52106     1050.20242     1059.10230     1052.52740     1065.55914     1063.25259     1068.13366     1108.18801     1186.02073     1211.63163     1224.64716     1264.97912     1415.52579     1349.53440     1211.78430     1116.74089     1152.61792     1192.53783     1194.35766     1197.18343     1207.83491     1187.40765     1171.40111     1135.27101     1210.95841     1230.31025     1220.00316     1482.31534     1497.86962     1178.89269     1159.49734     1222.80656     1236.45347     1089.35791     1096.10888     1095.24280     1115.45033     1081.61170     1055.80419     1078.22421     1068.58593     1093.27317     1115.17145     1167.24356     1105.99664     1105.28174     
1961 09 30 1079.81896     1084.13502     1094.89996     1089.24288     1104.07011     1104.54560     1110.45076     1158.41305     1244.22905     1273.54365     1287.30405     1329.97338     1479.70137     1415.97850     1272.84609     1171.92292     1211.26891     1254.30059     1257.06473     1261.24006     1273.37094     1255.00425     1235.48188     1199.81579     1277.13962     1299.49957     1286.00764     1544.07508     1559.11986     1241.41204     1221.22786     1287.32103     1301.17433     1138.82160     1151.78323     1155.40279     1173.00421     1123.36111     1098.01675     1128.48273     1103.34543     1132.66663     1159.92680     1221.42885     1152.37220     1145.22529     
1962 09 30 1013.17099     1017.42062     1030.84398     1022.65096     1041.60320     1040.57635     1047.93897     1106.71700     1190.54741     1213.82890     1226.06881     1263.97941     1411.33927     1345.57385     1214.49913     1123.04914     1158.16456     1195.29453     1196.49072     1198.41971     1207.90319     1186.71305     1173.25440     1137.71968     1210.55458     1227.58787     1219.48607     1477.97355     1493.45910     1181.51970     1163.08325     1223.13437     1236.32034     1081.97619     1095.66025     1097.39148     1118.71752     1065.71964     1031.20508     1067.53294     1042.87507     1079.70362     1113.31084     1173.21248     1102.13396     1096.33899     
1963 09 30 829.94493      834.04728      844.17873      838.89506      852.83295      853.33818      858.89576      903.39279      970.36703      990.88342      1000.85005     1031.74232     1144.40736     1095.55065     990.76215      916.69114      945.67794      976.52402      978.15045      980.64359      989.04121      974.29456      961.31668      934.34942      991.56236      1006.90803     998.29584      1193.82169     1205.34427     966.50145      951.73853      999.98490      1010.27568     885.64429      897.87826      901.13393      915.57244      870.98618      847.23750      875.96931      852.07339      879.65909      905.32808      954.42910      898.28100      891.44390      
1964 09 30 1358.66478     1361.73292     1375.49273     1365.79886     1385.75436     1382.85890     1390.40549     1451.06905     1544.65620     1570.98564     1585.29006     1629.58547     1804.90183     1726.05642     1572.05128     1465.91051     1505.91835     1549.01509     1550.13672     1552.00045     1562.79774     1536.97181     1522.09769     1479.73861     1565.74302     1585.02455     1576.40924     1884.82594     1903.38355     1532.41115     1510.75945     1581.21542     1596.81437     1423.77326     1435.10461     1434.29587     1460.45201     1410.54649     1371.85274     1407.20245     1389.53326     1427.58995     1461.60407     1525.74021     1448.14721     1445.75210     
1965 09 30 1040.79255     1041.53996     1047.90352     1042.74493     1052.24963     1049.94959     1053.43953     1082.26185     1141.40267     1160.99049     1171.08726     1202.37154     1320.17671     1268.33094     1161.20169     1087.67618     1115.20460     1146.07684     1147.39762     1149.46119     1157.63033     1141.43513     1129.29887     1100.99818     1160.00301     1174.80989     1167.09445     1372.66229     1384.87965     1135.32516     1120.24458     1169.44743     1180.09605     1068.07798     1071.95609     1070.43796     1086.51943     1063.75295     1044.12933     1059.49351     1055.28794     1073.04794     1088.55242     1127.25388     1081.28571     1082.02624     
1966 09 30 1007.99601     1013.01378     1022.56830     1018.74124     1031.41500     1033.53523     1038.77712     1081.56695     1163.58133     1193.98908     1207.37095     1248.89405     1385.60164     1329.33554     1192.50025     1094.81004     1133.57294     1176.16551     1179.64636     1184.82765     1197.44550     1182.63127     1161.19295     1128.89874     1201.55059     1225.08874     1209.51952     1442.31864     1455.62893     1165.08225     1145.75633     1209.23953     1222.16958     1065.36184     1079.39729     1085.21113     1098.77239     1048.47188     1029.03037     1057.81208     1028.49095     1054.23508     1078.83254     1139.17971     1073.96964     1064.35899     
1967 09 30 1100.43082     1106.07646     1115.49666     1112.42588     1124.63550     1127.72504     1132.89370     1175.90010     1275.02189     1315.23529     1332.31967     1385.35451     1552.44936     1485.38116     1312.65738     1189.12062     1238.25753     1293.22379     1298.33025     1305.88173     1322.67621     1306.30911     1276.88971     1237.65943     1328.28480     1359.83383     1337.91121     1619.94129     1635.83091     1280.28643     1255.86654     1336.25266     1352.30725     1159.93091     1175.31212     1182.82815     1197.16501     1141.41449     1124.04235     1153.44421     1120.41062     1145.62824     1170.11698     1242.51499     1166.40618     1155.00819     
1968 09 30 1265.70095     1273.55382     1287.12406     1282.41889     1300.12160     1304.17191     1311.61728     1372.83797     1499.62893     1548.97631     1570.15191     1635.87762     1846.02753     1760.95017     1546.05792     1392.15265     1453.48910     1521.38955     1527.44815     1536.42522     1556.96106     1535.63362     1500.00705     1450.56403     1563.76241     1602.25395     1575.91786     1931.69237     1951.83820     1504.85870     1474.48745     1574.39409     1594.47848     1350.23388     1371.74119     1381.70510     1400.69403     1324.30728     1298.56297     1340.50636     1294.57313     1330.96546     1366.14668     1459.69997     1360.36737     1344.71872     
1969 09 30 1013.79991     1018.19405     1025.24992     1023.11633     1032.19399     1034.74475     1038.61636     1071.76501     1166.31165     1207.10420     1224.27546     1277.58839     1442.81083     1377.14591     1204.26536     1081.08827     1129.81434     1185.25289     1190.62784     1198.56055     1215.69128     1200.17280     1169.85369     1131.15688     1221.46297     1253.72081     1230.93799     1508.84605     1524.41262     1172.69358     1148.24218     1228.79481     1244.76524     1059.06374     1071.00810     1077.33354     1090.65010     1044.75296     1032.16601     1054.43159     1028.71165     1047.56145     1065.96060     1133.49601     1063.43757     1054.44470     
1970 09 30 823.18810      825.35909      833.29174      828.10766      839.44747      838.35357      842.70450      878.02448      939.81991      959.51157      969.42077      1000.12811     1114.38087     1064.37237     959.59466      886.77833      914.56871      945.01119      946.42907      948.62622      956.76918      941.34175      929.05508      901.64459      959.16521      973.97181      966.02453      1164.98956     1176.77761     934.68188      919.92788      968.09519      978.46291      862.41705      869.82854      870.34384      885.58640      853.71838      832.44541      853.41489      840.85329      862.69847      882.44436      925.13175      875.31047      872.82265      
1971 09 30 1120.65584     1121.73299     1130.36468     1123.43114     1136.29714     1133.26809     1138.00181     1177.58335     1268.36111     1300.45460     1316.42702     1365.93394     1546.71615     1468.27411     1300.28087     1184.59765     1228.12963     1277.41946     1280.00609     1283.97333     1297.41010     1273.69976     1252.96396     1209.69248     1301.43927     1325.98646     1312.24694     1626.05674     1644.55629     1261.32107     1237.65446     1314.99342     1331.49911     1157.93205     1163.36454     1161.61955     1184.82839     1151.89652     1125.44249     1146.37511     1140.29646     1164.37078     1185.42192     1244.80030     1175.66417     1176.49444     
1972 09 30 1388.57509     1390.48646     1408.30868     1393.67817     1420.36980     1413.66879     1423.44202     1503.22110     1648.51726     1692.66981     1716.56708     1790.57716     2080.48450     1950.67402     1694.17878     1518.94343     1584.09504     1656.26241     1658.40252     1661.89223     1680.20424     1638.07898     1612.40878     1542.44672     1685.27200     1718.08448     1702.87190     2212.03705     2242.59769     1629.01100     1592.94064     1710.37990     1736.25834     1464.22105     1474.62352     1469.64169     1512.13442     1452.59396     1397.17215     1439.93190     1429.22749     1479.00596     1522.36202     1617.39653     1501.73167     1504.30708     
1973 09 30 772.62433      775.88305      787.42130      779.98245      796.43446      794.98803      801.31640      851.33634      912.18949      925.96222      934.09318      959.25016      1065.85727     1016.58430     927.20103      865.31734      888.81383      912.77834      912.79665      912.98053      918.47690      901.41656      894.87789      868.92976      919.80730      929.36655      926.38197      1115.88560     1127.46576     902.20706      889.66305      930.33034      939.62064      830.10729      840.99559      841.46166      859.11510      817.18555      786.50464      817.15244      798.28494      830.03426      858.78795      902.42068      848.56923      844.67294      
1974 09 30 1122.38904     1126.32776     1134.64567     1130.88183     1142.09168     1143.32271     1147.88605     1186.56274     1288.23402     1329.83745     1348.06440     1404.63039     1587.96826     1513.16732     1327.54858     1196.38594     1247.66554     1305.84698     1310.84370     1318.26216     1335.71246     1316.51584     1286.52555     1243.31245     1341.44558     1374.08353     1352.08879     1663.32501     1681.02918     1291.21862     1264.99307     1351.20595     1368.64291     1170.52246     1181.94274     1186.61637     1203.93054     1156.96497     1138.93377     1163.36071     1140.37179     1162.88611     1184.15525     1255.39037     1179.25435     1172.06999     
