       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 488.03530      581.21215      769.93033      851.47855      821.83887      780.94215      780.46429      786.74042      849.55206      761.80945      440.32421      909.53739      794.52920      966.34246      730.27021      878.44759      849.27085      901.95820      944.06071      576.99334      689.86391      405.25312      459.38143      359.60429      525.41506      562.73301      812.62502      845.07507      939.30292      564.17876      465.47459      844.89607      949.97667      772.59541      676.92888      410.07761      582.05860      817.19402      778.60604      814.64423      510.40676      820.37624      862.17437      832.61091      857.09568      827.42890      
1957 09 30 502.54310      516.52744      592.41381      672.53217      650.48318      638.44266      641.01259      650.58317      710.85487      684.68070      573.05716      786.67289      821.88182      785.24676      620.13108      702.02786      694.09160      723.12866      772.54607      519.75943      559.63841      447.84677      525.50480      438.74711      485.46693      543.34651      701.34160      929.74748      1026.82868     572.29312      496.66931      726.72515      788.04992      686.34991      614.85210      481.99690      566.17124      666.06232      656.82272      666.77065      490.68846      665.28669      715.14183      696.35476      700.84440      677.01069      
1958 09 30 311.84952      338.76393      435.82345      552.24930      521.64813      502.14216      505.49529      508.97308      562.92733      532.86658      393.93896      635.66250      591.62615      629.66199      456.03287      546.77234      546.95863      585.18711      640.51200      326.22667      386.79730      254.58922      324.13485      256.92046      279.24425      360.01206      532.40027      691.53337      794.98512      379.41239      284.74933      569.15715      641.74243      545.13856      451.10155      292.82683      390.90453      524.99260      518.85755      528.09184      303.29300      525.25912      561.51556      542.15759      539.75378      547.79471      
1959 09 30 659.29861      673.61456      834.90523      941.62625      921.81097      889.00807      902.70897      904.62190      957.97597      892.00225      691.65231      1008.47203     967.60949      1059.59017     803.30965      949.44833      943.68918      980.40447      1042.57287     612.45953      702.25442      471.58331      588.90113      465.56339      533.55766      615.90932      896.83967      1083.32527     1245.27374     684.30380      558.68941      950.93954      1049.70896     935.31915      800.15812      556.80318      699.76676      920.29226      919.24067      897.88670      638.15979      941.51293      973.83229      932.47140      959.50016      978.27130      
1960 09 30 537.35798      572.44236      667.55960      767.06689      741.82610      717.99842      722.03574      725.16433      787.19242      766.30510      590.22478      872.73650      877.62256      844.30783      682.97143      767.91171      762.38646      807.98449      862.27903      492.94681      556.35754      426.71674      519.95204      410.28409      439.30988      592.85647      746.80694      1011.32353     1123.56383     573.75900      477.80298      796.50774      881.94186      772.63197      660.41603      476.63591      595.38743      767.06303      744.07498      749.12791      516.07652      762.10662      810.88703      773.17295      784.38977      785.24120      
1961 09 30 569.74588      611.15565      725.47194      825.17970      801.71607      786.93078      788.98802      802.57362      878.26701      858.87347      673.69610      996.01298      986.97938      995.41156      764.66663      850.60741      853.12961      902.18015      968.04503      598.57137      665.86025      538.53721      608.68439      509.29135      541.14726      698.32800      875.24028      1131.59922     1242.15802     685.24849      580.89265      910.76342      1000.26865     843.48394      746.14506      557.45744      684.80719      818.37939      815.07404      824.33834      571.06836      824.83061      877.36255      853.68947      853.94648      843.67065      
1962 09 30 448.88353      449.74866      592.17426      714.22211      688.78944      661.84575      684.10831      689.28895      776.00230      684.05407      497.29713      796.96761      700.38372      792.80968      661.42667      754.30536      772.71866      786.05721      836.80448      423.57269      492.61114      333.86859      415.44678      329.38345      355.60936      437.23246      643.51694      862.77627      1027.82646     477.46072      373.38817      729.25241      808.99988      724.98162      597.00848      382.41871      501.50464      706.10327      693.70106      699.61402      419.57844      712.42114      787.63842      773.43118      766.78096      736.75591      
1963 09 30 391.56330      415.77431      469.82979      580.98285      544.01443      525.71178      540.05567      529.38256      590.17553      587.41334      469.75625      680.72582      650.65904      640.65068      511.76797      583.58795      574.27073      612.31009      664.67439      342.96612      395.78320      305.02109      375.90956      303.11895      303.33109      427.66587      572.02360      778.86321      866.38306      419.98673      343.50309      607.18016      685.36733      567.64724      491.70797      356.15721      439.37502      554.51682      545.01605      557.42870      380.25307      557.45695      604.24123      573.55766      576.45723      574.85709      
1964 09 30 642.60541      653.63279      839.42959      972.42201      933.95574      919.63770      930.24450      937.17446      1009.46258     916.48125      689.97976      1065.14939     1006.73738     1059.63002     836.64789      1011.92588     994.73520      1023.19870     1084.46057     644.02230      725.61208      553.13920      624.44588      530.32379      579.07534      693.65918      918.91208      1164.98102     1332.86615     715.61919      601.17445      997.10200      1070.91546     989.28354      819.35213      572.02519      719.21663      960.53998      951.43985      945.13249      618.99573      966.46754      1031.64659     987.08561      1017.87993     994.33270      
1965 09 30 595.43863      597.06545      689.82530      816.33843      767.12509      749.97415      754.83138      756.90940      827.62941      762.18042      623.27076      858.91254      847.05274      841.82839      696.35592      802.12571      797.92252      826.09911      869.98282      562.95797      617.43981      525.05253      574.55210      511.10025      533.29669      605.96090      758.50907      980.89365      1073.32955     612.59820      562.36392      797.91062      841.76881      801.24966      681.78791      539.44971      617.22844      788.58903      770.71942      776.66775      558.02369      795.11863      844.40933      808.40616      827.90259      795.73425      
