       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 39825.26693    55789.81835    28908.55270    210050.21922   198925.25728   105911.89808   417310.83902   1312116.81580  41156.92372    47966.00936    35915.67087    446625.57948   11053.13541    29980.11395    16690.37998    485.76876      6857.56483     4744.36933     312094.05363   19052.47542    428.66683      66457.90412    606392.57345   847590.35220   302221.29072   263277.15116   335255.88124   575756.17347   279173.14354   12227.60525    0.0000000e+00  38527.00727    0.0000000e+00  585156.86849   234730.94055   0.0000000e+00  111962.88657   0.0000000e+00  0.0000000e+00  198546.40513   0.0000000e+00  0.0000000e+00  203128.28661   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1957 09 30 25860.83939    40534.70195    26693.93590    201312.35743   193173.53208   100453.17716   369956.74119   1228301.51925  30162.52619    30035.55051    33787.11966    383950.45116   9552.01068     26836.64113    11733.21455    448.73252      6328.19456     4318.52042     174178.88556   15564.95895    354.28878      44889.27896    572582.93340   776680.60602   205179.24477   244717.63311   299697.47158   481799.36522   258853.40574   8423.32123     0.0000000e+00  30624.24751    0.0000000e+00  549880.45435   183454.60976   0.0000000e+00  80098.41139    0.0000000e+00  0.0000000e+00  183976.91033   0.0000000e+00  0.0000000e+00  189159.43494   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1958 09 30 40870.90285    59489.23584    34325.21873    255799.21788   239027.75831   126984.07331   492327.48498   1614715.67885  42627.02668    52563.38032    43553.43296    528888.33277   13157.52582    33178.91357    18076.62015    459.23944      6476.75371     5604.65240     295886.94388   22469.00317    510.98086      69279.94242    746543.89081   1009381.69308  303387.96147   319856.70873   403993.09804   633620.48315   270726.07511   13098.45725    0.0000000e+00  44733.69134    0.0000000e+00  723060.28301   272877.17090   0.0000000e+00  123233.59770   0.0000000e+00  0.0000000e+00  246026.57185   0.0000000e+00  0.0000000e+00  248514.20527   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1959 09 30 24770.92041    38130.01377    25448.07643    205003.59340   188722.06824   100479.35136   359678.39865   1192849.27206  29205.72498    31801.49505    33456.04522    378317.71050   9360.99644     26083.07518    11302.76111    438.86287      6189.07813     4217.77785     170319.81958   15150.79881    346.44195      43361.72991    562181.16104   772642.46705   186553.10185   234233.94873   291809.84917   461724.04023   252966.82036   7814.27654     0.0000000e+00  30880.88557    0.0000000e+00  541177.18676   188758.86693   0.0000000e+00  79598.41693    0.0000000e+00  0.0000000e+00  183732.86868   0.0000000e+00  0.0000000e+00  184553.58204   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1960 09 30 24275.02026    36411.46332    24900.91388    194142.93711   182756.65719   94690.31810    349761.47370   1172319.19859  28485.52565    30577.06947    32123.62775    365955.02574   9075.74024     25587.52680    10400.79565    443.15792      6248.74027     4111.55809     191373.14315   13611.79645    336.78762      40493.60167    542694.49830   737950.67022   179833.15231   229339.44937   280635.85006   460034.21559   254007.49616   7027.44656     0.0000000e+00  28970.06709    0.0000000e+00  523229.05121   175467.78243   0.0000000e+00  73819.31241    0.0000000e+00  0.0000000e+00  177651.44688   0.0000000e+00  0.0000000e+00  180658.47624   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1961 09 30 32270.08045    47645.38267    30076.25835    226397.69528   212916.10926   112449.62803   436839.79783   1419481.83371  36207.64939    43236.19624    38784.38816    463776.34453   11772.73766    30058.36562    14562.47457    443.33247      6251.93608     5063.98778     246919.35280   18410.98955    453.97173      56115.09734    667261.51367   901136.89511   242191.82599   282363.62104   358603.02576   558761.90181   258806.86444   10431.49938    0.0000000e+00  38842.93016    0.0000000e+00  642510.07079   232195.64281   0.0000000e+00  99907.71087    0.0000000e+00  0.0000000e+00  219966.80537   0.0000000e+00  0.0000000e+00  225204.78684   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1962 09 30 20465.76265    32669.21217    24489.46413    199528.24060   179159.61940   95766.81574    337562.89798   1141851.99533  25554.99717    25894.45074    31377.99738    353137.76755   8814.84161     24565.61278    9189.90612     431.11707      6080.31259     4039.40344     153676.22902   13151.75037    319.48794      34929.93567    535473.05964   725687.10582   153459.12886   223162.20306   273184.77020   435329.60946   247624.11305   6040.35755     0.0000000e+00  27444.66135    0.0000000e+00  511660.80089   165387.73641   0.0000000e+00  67025.24298    0.0000000e+00  0.0000000e+00  172766.00062   0.0000000e+00  0.0000000e+00  174945.74022   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1963 09 30 27639.22163    42971.19631    27210.26390    222952.81998   202812.27726   107886.23428   384317.52635   1293207.40077  31931.31197    34962.15338    36407.37533    410379.87169   10052.72062    27537.22328    12790.80031    444.74318      6271.82012     4553.03002     202318.90617   16337.32351    380.12709      49828.22569    599317.19912   818332.77229   216916.82721   251560.76236   311998.51294   500476.42023   257010.02062   9054.50087     0.0000000e+00  33353.74322    0.0000000e+00  580593.25741   202800.63429   0.0000000e+00  88300.96155    0.0000000e+00  0.0000000e+00  196244.61746   0.0000000e+00  0.0000000e+00  195594.91336   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1964 09 30 12308.00631    23336.43075    21663.21099    185586.23442   172064.85663   89091.57518    301574.01164   1052290.28488  20069.70094    16635.46812    29177.90092    310971.96975   7700.23734     23023.91123    6971.50176     437.68472      6174.85195     3732.24071     94834.59813    10756.92058    268.10967      27814.51888    484343.44430   670528.44557   112702.10702   200532.43276   241935.71465   377962.23650   248785.53616   4755.61262     0.0000000e+00  22331.03042    0.0000000e+00  468036.83241   130418.74245   0.0000000e+00  49368.17642    0.0000000e+00  0.0000000e+00  158356.93209   0.0000000e+00  0.0000000e+00  155976.03094   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1965 09 30 29208.87416    43592.58977    30246.79676    230336.65307   214574.40425   112822.77200   442162.83584   1438908.68901  34805.80343    38447.34278    38561.48493    465981.49941   11543.87419    30685.56083    12534.77248    451.93984      6375.69065     5183.82135     230593.88578   17240.80932    436.84223      48373.34779    656653.62212   864400.82985   208033.77599   283752.13084   362266.84466   556537.14795   262866.55012   8779.55554     0.0000000e+00  37710.36451    0.0000000e+00  636353.42553   218524.76508   0.0000000e+00  88629.42341    0.0000000e+00  0.0000000e+00  212065.41239   0.0000000e+00  0.0000000e+00  220821.88161   0.0000000e+00  0.0000000e+00  0.0000000e+00  
