      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 530.59067      529.66759      497.25560      642.46440      455.96562      568.32001      658.66999      608.01844      629.94714      581.81856      607.34996      404.76796      532.38267      410.46314      571.60061      726.30323      602.80547      425.83890      450.01673      743.55348      595.24003      641.56667      540.92876      620.02572      632.17593      582.78565      412.80622      469.48791      388.74838      687.18316      575.67520      473.54010      339.99394      680.49770      552.38263      531.34311      594.35537      629.97147      624.36590      601.85851      603.95393      507.75854      585.52960      630.24560      629.99827      384.72260      
1957 09 30 535.47689      536.41989      522.57832      657.56892      481.02896      587.08038      673.93779      631.39550      638.44059      588.05344      615.57785      411.86520      558.79967      456.07680      575.74488      737.47835      617.62048      462.94918      470.92269      771.98840      630.41679      671.40755      568.19798      641.61734      673.13765      614.14325      443.85968      480.40474      386.97107      703.77335      604.72102      490.47823      371.47308      689.12041      564.92960      553.81630      611.08805      637.42382      636.68293      610.90320      610.01497      530.19538      593.66932      636.49222      641.25698      418.81211      
1958 09 30 590.37883      556.55844      538.31759      717.20015      481.09143      618.74960      730.74542      684.90625      728.76815      653.07565      688.19042      417.34842      517.31792      398.58330      656.06011      845.31171      688.98319      452.06391      485.39725      787.80189      611.64366      672.82620      541.61726      662.24727      614.18050      611.82605      376.65242      460.38290      371.06613      755.20612      571.37301      494.78928      310.67595      785.81751      599.06796      546.43857      628.61539      712.33919      707.78825      686.32961      667.15660      561.97586      680.32962      730.12031      739.57848      397.59525      
1959 09 30 557.45584      574.16883      564.92098      704.06134      519.14452      633.74281      720.70332      668.64595      667.09190      617.42367      645.65563      437.35694      621.98329      512.60084      599.78517      774.12483      645.91161      481.90117      489.63630      868.54781      723.69317      748.56351      627.22514      701.05276      788.14001      681.79066      498.38314      512.13872      400.66693      759.78083      675.05581      528.57839      394.37968      725.20314      597.73131      593.64926      658.89893      671.02642      676.39123      645.92314      640.06455      553.73453      617.09463      663.01101      660.28461      432.91080      
1960 09 30 532.98304      547.98387      541.03150      669.89227      495.25421      603.69095      686.32725      639.99498      639.15666      594.78875      626.06730      419.63390      614.81265      510.68184      576.57427      736.36206      620.62436      469.97924      472.69845      850.79824      718.70008      730.20274      613.11981      677.72475      784.17497      665.07708      493.94710      500.27822      388.48014      736.24805      663.05398      510.01847      385.06035      690.01023      574.15526      570.95457      636.06062      637.88050      643.57076      614.58273      610.57770      528.96870      585.15000      633.08829      632.38718      414.46292      
1961 09 30 567.80535      559.55270      551.58486      709.74888      502.57546      625.54805      723.83548      675.25443      691.91394      623.81191      656.24996      412.61505      554.18351      442.19644      621.25163      805.89747      661.74665      463.52213      481.52661      831.16220      668.82827      704.12676      574.87641      672.56394      709.88973      634.06413      427.73814      471.56440      374.46751      750.61768      619.24486      499.29260      336.24336      754.36748      593.87880      562.84957      637.83651      692.43409      692.25663      663.88410      646.50484      556.72531      645.39500      691.68866      694.58063      417.42746      
1962 09 30 554.31479      571.56789      574.14625      696.86867      530.75575      637.21124      719.04242      673.67439      658.65534      612.38425      638.27215      442.09216      635.04872      543.06102      594.41263      760.41957      644.51839      500.84270      499.79707      859.41430      751.25245      738.03490      638.22184      691.51005      786.95884      679.93106      540.12714      517.41349      408.09330      748.88453      684.01092      538.61283      422.37962      715.93339      607.61612      600.49422      664.28545      664.69477      673.71026      642.45021      629.51389      561.18843      606.25258      653.21475      653.68371      450.08728      
1963 09 30 563.41779      565.99575      556.19944      704.47641      510.69529      628.15133      722.10649      678.84093      690.92927      631.96385      664.90465      433.27779      599.81500      488.21163      620.31407      799.45547      667.81684      487.11373      496.30550      844.09733      698.36750      731.42752      609.39597      696.57722      737.98103      666.13601      469.72243      506.68696      401.76865      763.70857      655.16256      521.76653      375.82890      741.66312      603.11832      586.67810      656.76740      679.00235      680.48060      656.24134      646.01112      560.68974      633.40276      687.16769      690.24924      435.61732      
1964 09 30 568.11481      604.01889      625.86174      745.78317      593.27513      688.84932      763.68894      719.34918      679.41507      632.69812      651.53181      476.24416      700.44038      625.31666      608.60591      783.54001      676.78249      563.43464      545.22225      935.10087      824.82349      808.08368      698.67486      743.84659      885.08227      747.24732      609.56200      559.48857      437.16636      793.55151      754.70145      580.80296      493.93899      740.79630      639.61537      649.79539      708.42352      693.21572      706.81629      671.42993      648.32396      603.62799      617.98786      669.99656      668.53335      507.35039      
1965 09 30 568.01924      567.98447      558.17431      692.70369      502.23998      620.82739      712.50209      668.36979      689.76957      629.43169      661.29985      419.17616      582.11186      466.32796      617.83836      785.83340      662.93614      478.08549      493.81792      793.97502      657.42534      687.92782      596.08774      664.82260      672.62945      638.53282      457.35863      493.24681      392.47480      739.45780      624.22168      511.68424      367.01246      737.40012      597.13710      575.27628      645.19716      677.87004      677.42630      653.00014      644.81311      556.46328      633.59880      686.39464      684.60318      421.83862      
1966 09 30 565.53154      577.03155      574.02236      702.91152      527.37742      638.32720      722.62333      676.17945      682.69970      631.43749      660.43833      455.42657      642.65928      538.40235      618.24283      776.38111      659.83813      501.98488      508.83117      868.81003      738.69787      746.23725      634.48956      699.80809      780.48046      693.79700      519.78662      540.89259      434.93087      766.36208      677.57004      542.20411      422.32791      725.82787      607.71618      601.92100      664.46582      671.42545      676.03037      647.05622      642.55138      565.02389      618.47047      674.98845      671.47537      448.46729      
1967 09 30 581.40747      561.55604      549.55278      713.53263      499.43198      627.10197      730.25820      689.09944      722.53718      653.57297      683.66231      430.62993      567.33833      439.48214      657.36697      827.84075      684.35528      471.31913      496.38455      834.80207      667.60623      707.39253      577.50716      680.06278      696.10924      641.58381      421.47295      495.61473      400.12523      768.26005      616.92776      512.56529      336.72607      771.26814      605.79688      570.57230      646.49857      701.32670      700.08689      677.90446      660.02278      567.62827      669.65553      721.47355      723.93544      422.99056      
1968 09 30 595.34213      614.42736      609.57822      749.90802      563.06723      680.77340      770.05352      714.99461      711.60082      665.97464      692.06825      481.26460      718.37362      598.13212      645.37221      811.84273      689.43719      532.73715      533.73541      947.42247      817.42668      814.49918      689.63689      750.37827      874.99882      748.47532      577.78061      583.97353      455.90879      816.99933      740.79919      581.66918      447.77097      762.92672      646.96567      644.09092      712.37174      708.20936      717.24065      681.65643      679.20638      596.23133      645.81667      702.77689      700.22660      476.84811      
1969 09 30 559.20928      562.07333      544.35912      696.95384      496.96348      619.13316      715.93905      663.97768      686.23916      630.21558      663.90283      432.60639      609.16357      481.83295      619.92862      790.67845      655.82550      469.91233      484.69271      857.10922      697.10620      743.78371      602.00843      698.13062      759.17007      671.99951      456.65406      515.88879      407.73014      763.23440      648.13086      516.19312      357.98103      734.82543      590.90357      575.02246      646.38521      673.61819      675.11857      649.05308      640.77302      546.63235      629.50041      681.96743      679.97430      412.47738      
1970 09 30 565.35101      559.50355      553.59270      693.00028      499.19693      618.94838      712.84010      672.03776      698.80850      638.53024      668.95991      434.05628      592.62327      483.87666      631.06706      799.23206      668.64641      480.54469      499.88592      831.52584      689.02265      712.17765      592.14983      677.70810      720.70275      651.26914      464.31499      507.10548      407.06673      747.93927      629.49476      521.99248      377.65750      742.68652      598.88688      571.98235      643.87851      680.02108      677.87851      656.26998      638.57966      556.61773      638.59952      693.75073      690.00381      422.01113      
1971 09 30 553.19548      568.05601      560.45074      688.46122      519.04091      626.96485      709.06462      666.87459      665.22004      621.61883      643.27717      441.59631      633.35208      512.44897      606.20867      767.24844      643.50804      488.78959      492.79799      851.26656      718.32480      732.70176      625.05097      688.88974      765.01147      675.19112      507.98118      523.61235      413.11172      749.96945      667.33420      528.32686      403.32119      713.96354      601.40746      595.38549      657.01787      660.59258      666.55029      637.04327      632.08219      552.03082      608.69799      660.07941      657.55031      434.76723      
1972 09 30 540.43009      566.56022      541.48460      670.38320      496.47603      603.04414      686.49364      644.22499      648.45782      612.54473      639.90344      438.41068      661.87726      523.57042      591.07276      749.02070      624.83626      474.12622      480.41288      884.32957      737.61665      755.12599      642.22413      696.12098      821.98841      694.89292      509.49792      537.65867      422.86123      757.50465      686.91640      526.27572      398.03532      695.99639      586.23078      594.51754      658.92061      642.95539      645.53163      618.30239      622.67319      533.54059      594.57136      642.48292      635.28169      418.66989      
1973 09 30 533.18194      525.62852      507.27660      640.67168      461.22263      570.63237      660.20228      626.91177      656.89896      607.39186      640.49775      419.81582      561.05475      438.72169      597.69200      750.52110      629.73163      454.26645      474.41926      747.56629      601.88105      649.03635      559.58629      630.89186      623.09541      607.15671      427.44545      492.31541      401.24000      705.34218      591.46819      493.45575      362.82770      697.77090      565.94676      547.60640      608.33381      639.32449      634.29251      617.45626      605.30953      521.72926      602.39371      652.74029      650.38212      400.23997      
1974 09 30 536.78959      552.13666      539.11252      674.78056      491.50067      605.94889      693.09905      645.18570      651.31231      603.19397      637.78442      415.80937      593.33586      471.42638      589.17242      753.86902      627.09711      460.37395      468.34880      845.62358      704.72339      731.28143      613.82993      682.18034      758.41355      667.48473      468.73375      491.05703      384.92811      750.89492      665.58081      503.85071      357.52574      702.93273      577.14024      577.13085      643.48880      647.11235      650.03247      621.56235      620.66440      528.98780      598.44963      646.22644      646.03543      407.08767      
1975 09 30 517.30761      514.95998      492.40698      624.25520      449.39874      556.91109      643.40942      605.27366      629.83864      582.17601      608.09368      410.79859      558.58437      440.28320      575.28612      721.75410      601.62635      434.20210      454.64045      742.20297      601.00444      639.43293      538.94811      612.20469      630.37287      600.07457      421.59302      485.10956      393.47025      679.54300      567.27813      478.02057      356.00674      671.21716      547.49606      524.27394      584.35740      614.41440      613.00511      594.25433      584.26383      504.21164      579.92071      626.77337      625.81127      387.19515      
1976 09 30 518.41346      544.82465      550.76787      660.99750      511.89065      608.08713      681.07852      635.94571      623.48900      586.24279      611.45383      435.85530      662.29395      566.41746      559.02635      711.51228      611.18734      491.33786      484.97374      865.64028      759.73690      748.77570      637.01226      682.67192      824.55946      688.84372      553.86277      533.93110      414.28813      730.46741      685.98044      530.78464      431.66023      666.10976      577.88162      585.53442      641.55455      619.78757      628.01197      598.80010      592.32585      528.24877      557.04544      612.67350      603.77195      433.02947      
1977 09 30 537.92069      548.25134      532.21030      657.35192      485.03252      592.41511      675.99103      635.48812      655.61642      616.06778      645.68158      436.04768      620.54557      494.44989      599.33833      744.61743      629.38060      471.06172      484.01899      805.37091      681.16088      696.19165      599.09591      658.44172      706.30810      651.09689      488.39929      529.30988      422.82883      728.50182      635.86570      520.82491      389.85741      691.58937      582.06514      570.53092      631.65339      637.36747      638.84852      615.08362      614.24572      530.55910      593.23473      647.60247      642.13500      416.47261      
