      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 204326.41547   32365.69423    9664.92941     821.60878      3113.02138     0.0000000e+00  0.0000000e+00  236827.35397   265092.19759   45735.94224    9804.90181     32370.17782    0.0000000e+00  0.0000000e+00  29234.66777    8494.46423     72297.06682    3370.48004     1717.42836     5884.62481     835.09330      237048.60997   210683.87069   622249.97643   1612.47464     5397.07231     0.0000000e+00  0.0000000e+00  0.0000000e+00  10037.13891    50147.11750    17084.60519    60.79498       67313.08724    208437.18158   393019.26657   62674.42145    105332.98400   19001.36865    75556.30235    1510617.90845  83830.79921    121832.97652   301922.72024   59783.63077    12650.76545    
1957 09 30 122907.42864   34316.35714    6531.35314     493.14669      1791.51387     0.0000000e+00  0.0000000e+00  128564.85180   188732.52549   19304.69436    6810.42387     27475.19072    0.0000000e+00  0.0000000e+00  48395.05604    6930.29315     87096.64470    3982.58972     1578.09372     5899.13192     689.01080      208516.59571   188360.39244   563431.60352   1893.86520     5574.58772     0.0000000e+00  0.0000000e+00  0.0000000e+00  8723.27486     40970.28916    17432.53841    43.26219       27702.21573    155206.90974   342344.89010   61743.71945    72719.00107    13531.47389    69332.14792    473875.55328   54679.31261    84932.89441    202444.44346   44729.30296    6495.58942     
1958 09 30 112731.90796   40971.75249    9245.77566     704.29608      2643.98752     0.0000000e+00  0.0000000e+00  166673.18530   228506.77574   21247.65878    5360.65759     30368.56877    0.0000000e+00  0.0000000e+00  55242.02867    9540.58134     94017.45701    4379.88749     1765.15599     6525.91022     802.54387      146135.78502   140255.03031   423547.52810   2072.43252     4216.65538     0.0000000e+00  0.0000000e+00  0.0000000e+00  6317.02849     26404.29488    19706.43679    53.05775       38803.46518    187335.67183   266835.11142   71418.98465    91275.24871    17159.17403    89426.61399    414719.84027   74528.77493    111562.22955   254350.60774   64246.14956    8636.81545     
1959 09 30 166997.12584   45760.15100    11074.82644    940.42630      3366.45995     0.0000000e+00  0.0000000e+00  194956.50378   313694.29703   27317.46556    8339.57022     36466.17462    0.0000000e+00  0.0000000e+00  73936.16811    11619.70679    123852.16459   6389.90074     2473.93130     9693.16528     1229.47663     230446.22501   220724.13388   623153.87754   2967.12038     5856.93820     0.0000000e+00  0.0000000e+00  0.0000000e+00  10215.40668    46161.98095    25626.00520    69.06346       53044.20339    249062.80565   411935.82910   97280.07809    122900.82377   22251.70129    121640.97467   573964.97182   88948.47224    148182.30661   360968.66064   81752.34557    11144.22616    
1960 09 30 152605.48312   46554.19919    12545.81237    714.48882      2805.29942     0.0000000e+00  0.0000000e+00  173691.04040   236053.04133   25644.51033    7699.72188     33025.66842    0.0000000e+00  0.0000000e+00  64893.04139    9963.81854     109464.78637   4345.37615     1967.72386     8096.55502     1057.81051     216103.60460   206169.27251   571227.99068   2492.11807     5940.18251     0.0000000e+00  0.0000000e+00  0.0000000e+00  9209.73639     40490.49976    20874.73773    52.71129       41465.30693    241269.94377   385186.71791   103847.78572   103171.47882   16215.13492    91705.53594    561832.00262   75562.55765    106269.65850   299776.90221   68397.88392    8724.85382     
1961 09 30 161326.75471   48714.02563    11627.95945    797.05157      3209.40823     0.0000000e+00  0.0000000e+00  216943.73157   275213.04466   27392.29509    8131.81740     32642.55065    0.0000000e+00  0.0000000e+00  70397.88429    10900.24395    125657.15961   5415.45615     2065.21251     11763.85223    1427.66752     237301.00303   226292.07463   620812.70980   3418.81456     5925.01249     0.0000000e+00  0.0000000e+00  0.0000000e+00  10095.57147    49639.04752    22307.96080    58.05256       50246.48578    261459.93348   424887.72887   104188.73280   110207.57156   19861.70851    105575.04494   600314.77472   86553.17521    132493.48624   320715.82126   74995.58275    11363.72378    
1962 09 30 132637.15073   37826.20466    8551.06977     695.74451      2483.98380     0.0000000e+00  0.0000000e+00  142613.07270   208789.31476   22002.06418    6636.80467     31066.92258    0.0000000e+00  0.0000000e+00  46095.15262    7399.22971     75146.92859    3729.61645     1551.56372     5892.95305     769.31146      187227.36103   177798.07247   530806.38718   1870.64383     5194.48741     0.0000000e+00  0.0000000e+00  0.0000000e+00  8222.93320     34061.70885    14618.43308    45.41743       36321.49407    165422.14753   335271.28261   63814.12735    84447.88773    17016.45823    83388.16723    464281.57270   61273.13789    96358.88966    219376.72036   52516.12370    7670.53916     
1963 09 30 111288.58131   29997.97842    9139.95831     742.16602      2674.36908     0.0000000e+00  0.0000000e+00  145367.54465   168395.86946   20544.08416    6585.44294     27784.23374    0.0000000e+00  0.0000000e+00  43107.05082    7400.79598     82355.75871    3694.89607     1679.99518     5688.53338     790.77914      178615.60085   182038.96600   502051.63701   1708.35163     5259.53778     0.0000000e+00  0.0000000e+00  0.0000000e+00  8094.08534     34523.84007    18320.25727    49.16465       34400.43953    171157.91081   340610.00530   70185.75207    73995.24931    13974.61482    76951.48369    420274.02948   60725.41943    94639.31438    218402.00513   51810.03766    8040.59592     
1964 09 30 171193.38814   56550.69032    16040.83185    1101.63261     3945.39235     0.0000000e+00  0.0000000e+00  245969.99899   309676.54354   28353.23650    7805.91451     37101.46068    0.0000000e+00  0.0000000e+00  70987.92313    13710.75310    140053.99633   5510.09355     2352.40862     10155.92581    1349.54199     230914.82358   205181.35512   623909.51540   2635.57167     5819.43573     0.0000000e+00  0.0000000e+00  0.0000000e+00  9575.94760     47461.02294    24203.16199    58.27527       60878.32523    284616.03368   397033.39983   114941.49467   128303.04716   23983.39502    126282.84780   640039.07334   106649.64467   161966.78444   382906.91838   89920.36952    14950.82552    
1965 09 30 131674.63390   38449.20939    9664.15464     623.42616      2021.74894     0.0000000e+00  0.0000000e+00  141598.87114   194341.28199   20316.23324    6702.94677     28068.29730    0.0000000e+00  0.0000000e+00  54640.98833    8512.96454     89267.42525    4146.18745     1738.09499     6143.90173     844.39396      182983.55056   161645.36737   505297.47319   2167.33846     5149.88463     0.0000000e+00  0.0000000e+00  0.0000000e+00  7151.61180     34640.55909    15697.32203    46.36844       34767.43135    163268.95975   312826.08038   69129.62372    74237.55458    13322.83199    77363.20078    527481.13817   51489.64922    75415.52086    236524.16527   52043.37592    6643.64985     
