       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 934.08468      795.83088      811.26124      878.64753      860.99627      845.31418      854.63190      896.13585      1006.56982     1067.20474     1180.28137     1012.32878     964.13708      1002.09458     1018.36235     949.00111      977.67239      988.44730      1016.77209     712.90944      771.96750      689.92947      746.69892      768.64669      649.43137      723.00896      877.51040      1068.73610     1156.52145     791.72904      654.55218      954.17199      989.95053      913.85082      859.60469      743.36471      784.27936      911.94731      865.09673      925.26151      1036.83633     909.58359      994.82190      1008.30661     965.90845      909.73025      
1957 09 30 565.03949      529.11022      585.57318      672.37701      636.80840      629.31995      633.35199      657.94125      758.72643      673.58179      623.81009      763.09622      714.67005      748.14687      705.89469      723.19714      730.76139      742.39541      772.32798      460.23912      539.38665      446.40718      514.33958      518.62875      414.63143      498.24478      649.03397      818.82736      917.15570      508.90087      436.51730      709.41431      758.35958      688.77129      614.96664      490.67495      522.16768      682.88788      648.16736      692.65743      519.46898      667.77060      752.48885      759.75552      728.19501      673.09665      
1958 09 30 459.82270      428.42651      469.82671      545.45368      525.95483      509.70079      511.24138      541.60432      632.05453      589.88667      512.57044      675.26662      609.07193      650.89334      625.28916      591.03635      609.61651      641.73873      671.25392      355.40292      432.43090      317.12665      402.10087      397.08770      315.04142      365.31619      557.33039      695.23775      793.96643      398.46692      310.52410      616.26714      674.25726      565.77378      518.82443      385.51541      431.30236      562.95157      529.03918      583.51220      414.38079      553.00536      627.74118      631.07162      589.13957      577.99356      
1959 09 30 855.89072      813.59005      856.16150      935.02690      924.21153      886.60267      894.95273      929.83955      1046.32026     981.11740      911.34679      1082.78097     1026.56891     1059.29639     1032.39914     985.47565      1011.29218     1043.51314     1076.25428     677.39778      765.70906      666.76435      757.15389      747.45073      620.29179      747.36762      920.19602      1186.75109     1312.02987     751.47326      675.00134      1007.29028     1069.24545     950.80765      893.84894      745.76680      788.59153      959.40799      920.01376      957.02909      800.74475      963.07241      1054.39811     1056.43597     1009.36212     998.07112      
1960 09 30 684.03385      641.82246      684.79002      778.49054      742.76429      720.49152      725.77365      745.63463      847.66170      790.64723      717.58815      896.59367      820.48970      834.39956      844.41597      797.88980      819.29088      847.36443      880.54084      479.37167      566.39125      497.23020      588.30055      573.50490      428.20552      579.52986      733.98878      964.56949      1094.28917     564.25783      492.31690      817.71012      884.03534      781.31902      704.57974      572.34491      608.02787      794.90423      741.28937      794.56394      619.46653      771.02257      861.48500      856.55998      820.81963      794.09105      
1961 09 30 742.54487      701.31104      748.79319      818.24959      806.67287      792.39232      794.04820      835.23919      959.94312      906.62897      837.21332      1010.85319     953.54204      983.22540      949.82325      891.35498      925.69723      958.05795      996.34466      618.55402      708.37348      617.06142      701.91122      691.43006      570.72855      684.80749      859.68465      1079.48719     1188.67016     694.71995      604.41296      936.79365      997.67486      866.23530      807.14340      676.42907      709.93299      861.82785      823.34077      883.13767      692.17301      850.89431      954.16961      957.18535      907.33404      866.49295      
1962 09 30 596.86017      558.32924      610.99518      684.52115      687.53692      666.35609      675.54824      708.42867      834.25255      748.44051      682.41820      856.20600      775.08538      804.07868      796.31080      775.02828      815.53870      824.40977      863.61401      471.04009      534.83663      490.35844      557.23846      557.05129      420.93182      546.92201      675.65895      978.49498      1112.38365     540.37674      475.03309      771.37337      832.39436      739.51736      658.86745      539.78450      563.58038      733.88672      696.50392      748.26897      558.83353      728.78312      842.27080      843.94493      798.90505      748.23809      
1963 09 30 462.34662      426.69148      469.45767      558.04923      529.39557      512.19196      529.05602      534.27921      630.75766      577.99054      513.85376      663.97281      562.37471      611.04841      606.98472      587.04146      609.10044      634.81859      669.83903      310.07527      392.03775      300.90080      387.13583      387.68067      264.85936      354.15393      529.71647      682.92862      795.32969      377.50559      298.76181      601.77871      663.63183      569.32537      510.65342      389.36183      414.16141      567.61518      533.79900      584.59308      411.43572      561.07543      641.60816      637.00545      599.67547      577.37442      
1964 09 30 876.98018      839.49661      886.05494      982.79573      951.60736      936.13526      942.89518      990.55888      1126.88588     1029.80347     997.68549      1157.26377     1095.94012     1091.28748     1082.03146     1065.35516     1095.09124     1103.99553     1144.03480     723.52487      804.71195      765.48098      839.46560      839.50853      681.54701      840.08090      966.76341      1289.08654     1423.67632     825.43958      755.12964      1083.27753     1118.40169     1029.07612     932.61927      818.60817      833.32051      1024.67244     971.74237      1034.10999     831.93260      1013.33731     1145.47220     1139.63915     1099.54770     1032.82043     
1965 09 30 676.21238      627.45542      689.69328      812.92711      751.15349      739.53901      741.37765      762.60417      867.28743      749.04945      676.15989      864.48679      754.40430      805.69224      810.11451      813.04049      831.81591      846.81603      876.02447      527.85328      609.35783      510.45301      572.95985      587.73883      496.24432      551.50816      718.57528      869.94527      980.99852      555.20039      499.86070      791.75738      841.71143      799.97148      701.92731      556.63691      588.96256      800.59103      763.08896      803.65975      599.88254      792.65532      873.53205      866.25997      846.51171      787.85326      
1966 09 30 596.43305      558.82347      611.78565      704.49167      678.33860      662.50229      670.33218      698.03681      811.55197      737.36124      672.91380      829.12846      748.61236      786.39899      772.08946      763.24684      794.45015      810.50553      841.93410      460.41600      535.06557      477.64275      544.96825      554.38926      414.87917      536.41602      684.48710      888.81967      997.44641      534.72452      457.99019      762.89572      817.11184      737.87959      653.72362      529.85023      557.55714      730.22749      699.42946      748.22054      543.20609      714.68168      817.12338      817.75897      784.14356      723.03153      
1967 09 30 760.86081      729.39125      776.40452      858.21014      836.23329      825.89649      830.28772      853.90258      981.67380      940.69059      913.95956      1050.11523     1018.22164     1054.08568     969.85388      903.64397      948.98625      996.14359      1030.48192     673.60080      761.98364      668.50832      743.22174      730.71184      633.20639      737.77783      915.27730      1137.73048     1245.14837     735.28157      639.58529      979.27314      1045.83487     885.99345      823.78086      699.77046      736.23012      880.97767      849.02293      906.46897      712.74522      861.21120      954.21347      971.84168      912.59564      872.26779      
1968 09 30 827.35639      789.79915      852.22719      938.45957      918.75111      905.80593      904.19125      958.63759      1119.67329     1055.78878     1005.25797     1212.21859     1189.97174     1200.42427     1100.74959     1031.39957     1084.90722     1130.41500     1167.80445     735.35170      826.14324      765.74897      835.63247      823.99173      692.47767      857.29551      1000.52231     1326.63512     1472.16485     819.04842      732.96931      1132.70538     1204.26673     990.20332      914.96202      789.81411      817.33431      971.88951      927.55186      1002.52369     773.46807      964.36672      1072.77171     1108.98226     1042.24996     983.30609      
1969 09 30 663.62378      619.06308      655.53036      734.01781      715.65843      691.21816      691.25064      721.25421      837.46095      807.53642      738.42347      918.54472      848.23741      891.84597      847.42971      774.11721      807.56464      859.37896      892.74519      508.22536      604.01149      502.55515      592.78148      567.70615      457.38149      590.14481      766.60821      984.53881      1105.35191     593.69978      489.93258      839.66781      912.70977      746.12412      702.55665      566.31879      604.51847      742.50967      721.61803      768.86446      596.71938      740.69570      824.94991      826.89518      784.88843      763.46932      
1970 09 30 463.92608      426.14664      495.52052      581.91210      541.64990      516.72226      526.56837      552.64089      650.35142      555.93588      479.42189      643.13696      544.82240      583.66165      597.89583      604.28900      626.70215      633.50076      660.94966      291.41105      370.69046      285.69592      370.96520      371.42696      240.36696      336.90607      501.89141      655.38258      765.40935      360.70986      290.35528      585.45271      631.43467      588.47380      502.77673      368.84644      402.65408      588.33309      548.59427      592.23465      405.66708      576.41188      666.70964      663.33150      628.69906      584.49796      
1971 09 30 713.78847      676.84707      721.45630      816.96476      782.24214      777.08396      768.45642      794.59167      922.60115      846.31138      775.60305      961.30391      915.86852      945.16596      902.83996      870.66973      888.69541      918.28507      948.42592      572.66659      655.13549      574.75153      638.07417      656.37030      529.37173      647.49590      797.23795      1075.39320     1200.09361     630.46924      554.36840      882.54446      943.10301      836.08784      738.33716      610.23944      644.92142      830.62271      803.88122      835.42641      650.32629      828.23695      918.51827      924.44176      882.37167      849.62897      
1972 09 30 1007.81017     953.82345      1029.22996     1100.35616     1092.74389     1066.63525     1075.65212     1153.11080     1328.84081     1259.32454     1186.02626     1401.31732     1429.36413     1430.26362     1318.02951     1216.83315     1274.77724     1320.32963     1353.48388     917.79967      1023.29787     932.28845      1007.81408     961.30560      871.10742      1025.12571     1214.99889     1655.32923     1799.70530     1006.24151     902.14595      1292.83722     1367.08166     1164.20492     1079.31984     928.57316      985.98817      1159.34752     1091.52204     1162.53797     969.34400      1169.22575     1293.52490     1324.05312     1241.38528     1203.65598     
1973 09 30 437.31968      406.74605      472.68707      563.82922      526.67705      515.60341      530.45708      559.20938      637.93406      537.95703      466.88394      605.66309      524.49479      582.26616      589.22492      605.33944      614.58315      618.00822      640.32026      347.18860      416.12359      314.20988      373.03398      394.05028      300.05918      340.53656      500.58757      611.38845      710.49381      375.00326      301.15043      566.58914      604.18063      579.46360      497.27474      364.08751      407.08457      575.77020      537.38304      581.32772      395.45099      568.47392      662.58370      651.77375      624.45221      577.11708      
1974 09 30 785.57510      716.93971      767.63572      836.08109      820.35079      796.79676      796.51335      839.79884      985.16145      935.14381      868.30355      1059.65710     1013.81012     1046.61889     989.24047      896.01006      940.73736      988.84189      1028.41832     626.97764      717.94340      640.15935      703.27614      695.29092      585.23762      710.97556      883.07342      1167.94386     1292.20029     696.88692      598.84290      968.83807      1040.17657     873.98839      810.17424      672.37778      698.73097      871.51974      834.79048      893.43157      711.69272      867.50201      959.58576      974.60588      917.94336      884.71749      
