       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 976.88706      987.57739      993.62323      985.67643      986.58630      985.63722      986.72020      1004.33320     989.06483      983.17812      981.85078      941.12530      971.53140      963.66688      984.36620      1003.22608     991.74858      987.78526      981.46291      1012.36770     1007.23919     983.99747      990.58896      988.86410      1011.87567     971.37663      979.10561      949.17978      931.65403      994.41477      1005.24962     966.56571      973.53184      987.01056      993.63023      991.25749      1000.89643     985.78094      979.62874      978.18398      992.88526      990.96978      1000.62377     995.21032      991.22515      992.51017      
1957 09 30 1002.86244     1013.81225     1018.75451     1012.06047     1011.16147     1011.17025     1011.63841     1024.59869     1007.42620     1002.85651     1001.53767     960.70707      984.40226      980.54095      1003.48247     1022.66819     1011.47009     1008.07828     1002.28287     1033.96601     1029.44096     1008.14100     1013.05247     1012.95507     1034.36899     994.88032      1001.08253     958.10628      939.82145      1015.62250     1026.64037     987.48298      994.10117      1009.83902     1016.56542     1015.23797     1022.50375     1008.32781     1006.57370     1003.00530     1016.23954     1011.11496     1018.15404     1012.06052     1010.62553     1010.75163     
1958 09 30 1170.46647     1185.57898     1192.43238     1185.80158     1185.37548     1187.94792     1189.04849     1208.50784     1190.54592     1187.00919     1185.36788     1136.70447     1154.83786     1156.67713     1186.95740     1209.83455     1197.58795     1194.18306     1188.08669     1227.08088     1222.48866     1200.49355     1203.73358     1206.17636     1228.87501     1183.65606     1188.37244     1117.82547     1095.23313     1204.78737     1218.32505     1170.52179     1177.77496     1191.55152     1204.49933     1207.10723     1212.04686     1183.72449     1183.85474     1184.90783     1187.91199     1184.30266     1195.81484     1193.58323     1188.80522     1183.65015     
1959 09 30 1018.53553     1031.34041     1037.31069     1031.51651     1031.40475     1033.53715     1034.54518     1051.53014     1033.94145     1029.46790     1027.48047     984.13481      993.09814      996.85677      1029.59635     1052.90293     1041.00679     1036.24360     1030.77075     1063.41400     1058.82388     1040.15664     1044.33362     1047.43584     1063.91852     1023.96007     1029.33074     959.38883      939.74389      1045.40501     1057.67805     1014.48314     1020.14396     1036.98201     1047.97881     1049.84271     1054.08807     1030.23477     1029.88793     1031.13215     1033.68518     1030.89410     1040.92087     1037.62628     1034.85820     1030.45217     
1960 09 30 974.82883      988.06310      993.74418      988.61142      987.86401      990.65155      991.51637      1007.69541     993.27188      991.42210      990.27690      949.56288      965.09152      967.53503      991.07350      1009.15274     999.47083      997.52490      992.64079      1026.50380     1023.08782     1005.00048     1006.56036     1008.85378     1028.78980     991.24836      994.07225      932.32229      912.72595      1006.90870     1018.27079     978.25421      984.53884      993.81689      1005.64431     1008.78550     1012.07233     986.19392      987.70242      988.81187      989.19577      985.65991      995.35252      994.71779      990.11046      984.57713      
1961 09 30 1076.68344     1090.69182     1097.94273     1091.09072     1092.10769     1094.15106     1095.68092     1117.56280     1101.93577     1097.72858     1096.10898     1050.95341     1070.54135     1070.39077     1097.98290     1119.88839     1108.08695     1104.19565     1098.23601     1133.79040     1129.15480     1107.84590     1111.90022     1113.54003     1134.85544     1092.44948     1097.68169     1038.10844     1017.55286     1113.54861     1126.14359     1081.74243     1088.55902     1100.14315     1112.61733     1114.63134     1120.49072     1092.28221     1089.53094     1092.74886     1094.86324     1094.16670     1107.10210     1105.73405     1099.54272     1094.86236     
1962 09 30 998.30627      1011.27417     1017.43916     1012.13210     1012.44076     1015.25374     1016.47463     1034.95473     1018.70947     1014.80687     1012.89738     971.04528      978.41784      982.95420      1014.73130     1037.69912     1026.26796     1021.60875     1016.47377     1048.25898     1044.08548     1026.61699     1030.08098     1033.72989     1049.11214     1010.94939     1015.51432     944.59219      925.25067      1030.72819     1042.71974     1000.77461     1006.17699     1020.73917     1032.96999     1035.75188     1039.13742     1012.14040     1012.01773     1015.28808     1013.65955     1012.14923     1023.29441     1021.75461     1017.84063     1011.86177     
1963 09 30 1071.93188     1085.96329     1093.42489     1087.60332     1089.34733     1092.65733     1094.49609     1117.97902     1104.06864     1100.54905     1098.81766     1055.86654     1066.53372     1069.76258     1100.46717     1122.62017     1111.50914     1107.28567     1101.94509     1134.96179     1130.89130     1112.06457     1115.45218     1118.52717     1136.15360     1096.65186     1101.37832     1032.29811     1012.21319     1116.36350     1128.43807     1086.12353     1092.05431     1101.95602     1116.18955     1119.50549     1123.60001     1090.92737     1088.89852     1095.62193     1090.08407     1091.32755     1105.52817     1106.77899     1099.56376     1092.01089     
1964 09 30 1006.76159     1019.53601     1025.57841     1021.41327     1022.03799     1025.98207     1027.32450     1046.02791     1032.57887     1030.27388     1028.63564     990.38986      991.77038      998.71624      1029.76337     1050.48557     1040.65453     1036.87568     1032.55344     1061.83118     1058.72585     1043.71136     1045.58646     1049.85940     1063.46675     1029.38788     1032.62175     957.28306      938.78141      1045.44780     1056.29955     1018.47920     1023.28708     1033.60547     1046.95263     1050.77391     1052.58324     1022.57920     1023.72893     1029.44806     1021.40341     1021.04511     1032.64477     1033.94358     1028.86883     1020.52158     
1965 09 30 1072.93769     1085.32333     1091.67089     1085.32587     1086.09302     1087.72786     1088.98400     1108.31912     1100.38004     1100.07228     1100.17930     1063.07589     1095.45597     1089.06733     1100.06757     1109.78984     1102.80233     1104.01676     1098.94127     1131.84869     1129.34117     1107.62355     1108.84491     1106.64887     1134.97909     1098.60206     1101.89021     1070.15573     1051.72687     1110.93990     1120.07836     1087.23978     1095.06752     1092.39441     1102.90149     1103.71436     1110.83716     1085.90718     1083.43014     1085.62866     1089.04432     1087.76324     1098.88823     1101.29408     1091.99578     1088.23728     
1966 09 30 1042.44023     1054.40145     1061.18629     1054.91430     1056.82548     1058.58424     1060.22490     1081.90192     1077.86899     1078.36249     1078.84327     1044.84201     1078.77629     1071.00445     1078.36963     1084.59189     1079.26440     1081.53244     1076.76818     1107.64268     1105.63970     1084.34463     1085.14331     1081.93878     1110.97179     1077.08872     1080.17162     1055.91238     1038.53542     1087.44727     1095.39765     1066.54883     1074.34010     1065.83281     1076.79354     1077.68961     1085.20789     1058.18820     1054.16410     1058.86363     1059.31260     1060.36962     1072.89948     1078.05648     1066.09862     1061.65731     
1967 09 30 1119.22328     1132.67930     1141.21410     1133.88626     1137.55884     1139.60470     1142.03407     1170.47230     1168.76364     1169.07977     1169.62060     1132.88548     1172.08599     1162.31008     1169.23676     1175.29692     1169.89901     1172.31756     1167.03099     1200.34837     1198.04097     1174.50093     1175.71506     1171.78180     1203.77526     1166.84909     1170.48993     1148.95195     1130.52374     1178.51399     1187.06106     1155.97331     1164.52864     1151.31172     1164.82990     1166.43663     1175.17715     1141.15880     1134.19540     1142.75602     1140.03686     1144.42300     1161.02010     1169.12103     1152.91692     1147.16658     
