       Date Drainage_3    Drainage_ 5    Drainage_ 6    Drainage_ 7    Drainage_ 8    Drainage_ 9    Drainage_ 11   Drainage_ 12   Drainage_ 13   Drainage_ 14   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 18   Drainage_ 19   Drainage_ 20   Drainage_ 21   Drainage_ 22   Drainage_ 23   Drainage_ 24   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 28   Drainage_ 29   Drainage_ 30   Drainage_ 31   Drainage_ 32   Drainage_ 33   Drainage_ 34   Drainage_ 35   Drainage_ 36   Drainage_ 37   Drainage_ 38   Drainage_ 39   Drainage_ 40   Drainage_ 41   Drainage_ 42   Drainage_ 43   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 47   Drainage_ 48   Drainage_ 49   Drainage_ 50   Drainage_ 51   Drainage_ 52   Drainage_ 53   Drainage_ 54   Drainage_ 55   Drainage_ 56   Drainage_ 57   Drainage_ 58   Drainage_ 59   Drainage_ 60   Drainage_ 61   Drainage_ 62   Drainage_ 63   Drainage_ 64   Drainage_ 65   Drainage_ 66   Drainage_ 67   Drainage_ 68   Drainage_ 69   Drainage_ 70   Drainage_ 71   Drainage_ 72   Drainage_ 73   Drainage_ 74   Drainage_ 75   Drainage_ 76   Drainage_ 77   Drainage_ 78   Drainage_ 79   Drainage_ 80   Drainage_ 81   Drainage_ 82   Drainage_ 83   Drainage_ 84   Drainage_ 85   Drainage_ 86   Drainage_ 87   Drainage_ 88   Drainage_ 89   Drainage_ 90   Drainage_ 91   Drainage_ 92   Drainage_ 93   Drainage_ 94   Drainage_ 95   Drainage_ 96   Drainage_ 97   Drainage_ 98   Drainage_ 99   Drainage_ 100  Drainage_ 101  Drainage_ 102  Drainage_ 103  Drainage_ 104  Drainage_ 105  Drainage_ 106  Drainage_ 107  Drainage_ 108  Drainage_ 109  Drainage_ 110  Drainage_ 111  Drainage_ 112  Drainage_ 113  Drainage_ 114  Drainage_ 115  Drainage_ 116  Drainage_ 117  Drainage_ 118  Drainage_ 119  Drainage_ 120  Drainage_ 121  Drainage_ 122  Drainage_ 123  Drainage_ 124  Drainage_ 125  Drainage_ 126  Drainage_ 127  Drainage_ 128  Drainage_ 129  Drainage_ 130  Drainage_ 131  Drainage_ 132  Drainage_ 133  Drainage_ 134  Drainage_ 135  Drainage_ 136  Drainage_ 137  Drainage_ 138  Drainage_ 140  Drainage_ 141  Drainage_ 142  Drainage_ 143  Drainage_ 144  Drainage_ 145  Drainage_ 146  Drainage_ 147  Drainage_ 148  Drainage_ 149  Drainage_ 150  Drainage_ 151  Drainage_ 152  Drainage_ 153  Drainage_ 154  Drainage_ 155  Drainage_ 156  Drainage_ 159  Drainage_ 161  Drainage_ 162  Drainage_ 163  Drainage_ 164  Drainage_ 165  Drainage_ 166  Drainage_ 167  Drainage_ 168  Drainage_ 169  Drainage_ 170  Drainage_ 171  Drainage_ 172  Drainage_ 173  Drainage_ 175  Drainage_ 176  Drainage_ 177  Drainage_ 178  Drainage_ 179  Drainage_ 180  Drainage_ 200  
1956 09 30 768.89127      790.51393      1116.24471     1104.57763     1112.31104     1058.46692     940.98205      1072.12070     721.46620      838.59811      859.98567      1170.65126     850.96625      740.94214      1183.16647     999.35668      1171.65579     869.67382      1094.60715     983.05790      884.95744      823.33764      1019.49590     864.35306      833.22324      914.99848      805.13461      1121.85475     1100.23616     1013.13459     944.24201      868.72885      972.18306      937.31809      833.96049      1010.18686     818.01428      965.70301      862.17979      823.74793      795.22219      1080.37705     1121.84202     790.14280      826.64906      997.57165      775.73675      1420.36483     1346.65667     1155.84536     1073.64793     1136.03173     1035.44286     791.66937      807.51641      820.55761      754.66951      797.24830      1085.25721     787.06614      1033.08033     785.45520      745.68878      839.76508      1030.70037     1302.21824     727.75534      1053.38898     1076.63135     1064.92826     694.26449      1431.23609     774.67756      760.54632      986.99166      736.43768      682.54577      1082.93622     922.58362      996.68537      1090.77511     688.06751      1056.57133     1042.32323     437.65453      902.58301      1027.47457     961.40553      1036.19891     1073.40038     759.45407      1067.81450     943.10501      1035.57944     1001.60052     786.16738      334.84486      1420.22771     1027.93689     1386.85123     986.03758      1043.99251     1106.54615     891.61402      899.26818      1115.04376     1356.68782     864.43159      1074.04368     1007.24867     1031.78589     1153.20956     1077.55035     1121.09382     1135.43909     1026.95169     1093.02139     964.76175      744.46216      969.03185      1516.71810     952.45743      1025.44535     1005.20971     1087.56760     1054.08691     952.74063      971.85899      1097.23944     1086.91296     1583.07596     960.64094      922.13128      1028.32914     1074.02088     921.89577      947.46559      990.82054      1046.93131     1097.76351     944.62459      910.49125      1228.88499     990.39174      1448.77376     1261.60510     1084.25255     1097.10227     934.76446      1105.70088     922.92714      1036.76855     1162.31983     1103.04585     1551.90152     1032.45252     969.82142      1007.39047     1436.15642     1187.72786     1695.44839     1509.57405     1127.16398     1145.49890     1281.18296     1171.77295     1076.84626     1316.83727     1553.96729     1164.06168     1412.60736     1087.10903     
1957 09 30 764.51405      787.88086      1128.10769     1115.02815     1120.83968     1064.99557     944.05971      1080.81720     713.61609      833.16553      853.73968      1184.85048     847.06433      736.56017      1199.42499     1011.72012     1186.52836     863.97468      1107.63743     985.85700      882.99007      819.58904      1019.10227     859.23045      826.79227      915.82972      801.53089      1132.17249     1112.00264     1025.48983     944.07437      866.18351      970.80074      939.27644      829.06061      1019.99184     811.91977      964.88626      856.01008      818.76846      793.41009      1089.99789     1132.15116     786.60130      820.64651      1006.02537     769.01054      1433.05471     1356.86229     1164.41267     1083.33842     1145.25253     1045.80386     786.88262      803.77056      815.63695      749.56074      790.67922      1094.79883     785.36159      1043.73094     783.40549      741.63344      834.38186      1040.62768     1312.74749     724.29043      1062.21047     1079.95146     1070.49948     687.39492      1441.84098     768.43160      757.30819      993.64375      731.88154      678.48843      1088.14326     928.98487      1004.71575     1094.83584     683.77254      1065.52725     1050.91004     433.64259      902.39495      1036.52872     964.65502      1044.13757     1082.71159     756.91211      1076.83739     943.38195      1043.87540     1004.71317     784.41846      329.38267      1432.44611     1036.34725     1396.81233     993.60588      1052.74549     1115.61717     892.42659      899.24008      1124.57144     1368.41044     865.08026      1082.80423     1015.38815     1031.51882     1159.74703     1085.80845     1129.86133     1145.28025     1025.08767     1101.93880     971.74416      738.27941      976.03622      1528.97302     951.04176      1031.62202     1008.14283     1096.72295     1055.36344     959.20732      978.27597      1105.21016     1085.22056     1594.45976     967.15243      921.50347      1025.66558     1082.36399     928.04050      953.85990      997.41200      1054.77412     1106.95602     949.81133      909.25291      1238.65968     997.38216      1458.89005     1268.65013     1084.56455     1105.53878     932.92983      1112.63216     920.11833      1038.37390     1171.67250     1107.45655     1561.49981     1029.52791     970.73646      1003.10947     1447.69322     1190.77212     1705.22924     1519.26274     1127.58994     1144.07940     1291.37268     1167.92612     1075.86308     1325.39073     1565.42806     1170.54817     1414.67062     1096.16375     
1958 09 30 869.41520      899.69277      1286.44137     1267.11150     1272.40397     1209.23211     1072.00850     1225.52121     812.69938      943.65720      976.74559      1356.71578     973.68370      839.45856      1373.38306     1156.50881     1360.26583     984.75217      1268.84352     1122.72623     1009.99337     938.55609      1170.23007     982.53355      947.54381      1046.70469     915.87356      1286.61007     1273.79096     1172.81743     1077.96290     990.40949      1116.83293     1067.44892     950.80700      1169.40464     933.93745      1108.31806     980.63372      932.05255      899.26278      1245.38552     1289.44590     891.32526      940.00265      1154.31483     884.78078      1643.88817     1559.20447     1330.94655     1241.36083     1304.43726     1199.97546     894.52360      915.00372      931.59650      854.63826      901.61757      1248.96511     890.03787      1197.28013     887.90353      841.47015      956.88777      1194.38378     1506.60607     821.02149      1214.70682     1235.58165     1220.03763     790.83120      1662.97669     882.48926      865.45405      1132.62969     839.13877      775.07972      1242.25613     1068.10805     1154.80440     1250.83599     783.56375      1221.37959     1209.33975     506.74057      1028.15570     1192.14789     1096.67893     1193.25539     1242.41091     868.03753      1233.67738     1075.39898     1202.24037     1143.55678     907.12486      396.65739      1656.14389     1192.77245     1612.23955     1139.23505     1211.43280     1277.69281     1012.71629     1024.23457     1289.71507     1579.15542     980.86016      1247.76783     1168.86585     1190.09757     1327.35893     1243.93147     1295.02426     1314.74578     1195.56890     1263.90543     1113.44160     881.51380      1119.63254     1776.38232     1087.67783     1180.27880     1150.82427     1264.42958     1217.45495     1098.85870     1120.03747     1266.97166     1257.67985     1858.10969     1107.88887     1069.97522     1193.49321     1242.73707     1066.12651     1093.24210     1142.97014     1210.18214     1276.18020     1087.06366     1051.31272     1428.60407     1145.43383     1692.77227     1459.54847     1260.32399     1271.91110     1074.91967     1277.43820     1058.85538     1192.39136     1349.02349     1268.67637     1808.94625     1186.24778     1110.73739     1158.37361     1674.54162     1366.42534     1984.93289     1756.33705     1296.47303     1318.43219     1488.03047     1346.37829     1225.79420     1521.27497     1810.81488     1340.18589     1634.17880     1248.69533     
1959 09 30 741.30338      763.66693      1086.58217     1076.14745     1081.99154     1028.12811     911.16199      1043.18583     693.28769      808.14273      829.71069      1139.43244     822.98959      714.31070      1154.77046     972.99189      1140.94410     839.72102      1063.95793     953.36400      856.66969      796.19993      988.94312      834.93639      804.59207      887.21015      778.27850      1091.67391     1067.53861     985.53600      915.29907      840.99531      942.93012      907.66464      806.41999      977.46882      791.25860      936.98366      833.45188      794.73972      767.26671      1046.54757     1089.99475     761.34386      799.51660      962.93335      749.95272      1384.42713     1310.67844     1121.22049     1038.67900     1103.47020     1001.97164     762.15401      778.83169      792.20518      726.92841      770.24303      1052.34468     758.64587      1000.24633     756.72019      717.11189      812.50247      996.67044      1265.68828     699.73498      1018.96281     1044.52045     1032.40799     670.74846      1392.77962     749.33737      733.77226      953.85421      710.94969      656.92201      1050.37897     887.33811      960.61624      1057.82958     663.26880      1020.78488     1004.51759     419.77750      872.49527      991.61510      928.79810      1001.30090     1037.08496     732.69888      1032.02261     911.43885      997.31151      969.29302      759.14793      318.84493      1379.82071     990.55660      1346.79901     951.32239      1006.48784     1070.35704     860.51184      867.49245      1078.72389     1317.06230     832.58988      1034.31328     970.81024      998.55687      1117.36551     1041.48887     1084.70066     1098.75789     992.50760      1056.74826     930.70167      714.90310      934.34410      1473.31709     919.08711      989.21298      971.21632      1048.12156     1020.22133     918.38528      937.02692      1060.96940     1050.54068     1537.36938     926.06969      891.32702      993.37773      1037.16839     887.37044      913.43956      955.46014      1010.61005     1058.72270     910.07922      879.52687      1189.49549     954.29984      1405.34430     1222.42988     1049.21866     1058.94236     902.46692      1068.46461     890.91964      1001.77773     1122.70298     1066.67241     1505.98143     996.87810      935.68631      972.86039      1391.93672     1148.82062     1645.73063     1464.58492     1089.35458     1106.79888     1239.74576     1131.65468     1039.04615     1275.47188     1507.59655     1125.17817     1367.32237     1054.45004     
1960 09 30 755.08689      773.15843      1080.13313     1071.75186     1081.30740     1028.94690     914.38126      1041.03437     715.35563      829.62029      851.58069      1130.63982     838.48899      724.06595      1142.69086     962.05614      1130.97854     860.01656      1054.85249     957.20817      865.47019      809.26648      996.58408      852.89701      825.42862      891.46995      789.24961      1088.41234     1060.83355     974.94626      921.88902      850.56718      951.88969      912.20140      822.24796      971.20928      809.09140      945.01010      853.77075      807.94734      773.09132      1043.01563     1086.60893     770.01906      816.28612      958.59999      768.08509      1382.47341     1311.21306     1121.26518     1034.61915     1102.22486     995.48509      774.24963      789.18010      806.32532      739.56141      785.85333      1049.14750     764.63461      993.30829      763.51692      726.03928      827.42446      990.74037      1265.31838     706.79841      1015.82211     1049.55170     1035.49004     686.62218      1392.82707     764.47816      744.27802      952.20004      723.37564      667.20837      1054.01325     883.89154      956.67522      1063.19782     674.66117      1017.32548     1000.97825     427.03325      880.74102      987.07878      933.03682      998.74413      1033.50296     743.74793      1028.73592     920.35621      993.83783      974.98892      769.45841      324.51251      1375.76034     986.83870      1346.85722     948.41955      1002.65507     1067.68740     866.96220      875.50852      1075.56539     1313.47998     837.78085      1030.90824     967.40981      1009.80121     1120.43468     1039.49444     1082.87190     1095.58767     1005.86831     1054.12390     928.17564      726.98095      931.80312      1468.18014     930.82166      988.96468      976.61686      1044.63744     1028.20325     916.16895      935.23870      1059.83578     1064.97550     1532.65411     923.93567      899.74851      1008.59494     1034.89094     884.90393      911.38278      953.95591      1008.51470     1055.54978     909.58870      889.35355      1187.48602     952.03256      1403.53074     1225.21355     1058.29813     1056.93606     913.58455      1069.05884     904.19549      1008.99349     1120.57739     1071.23976     1506.57724     1011.24275     942.80181      989.80949      1389.85910     1156.57384     1644.70323     1465.56502     1099.40693     1119.98315     1238.36680     1149.78931     1051.46981     1277.31470     1506.84045     1127.36670     1377.36320     1051.99425     
1961 09 30 811.40126      831.53270      1161.78471     1150.55935     1161.46218     1104.76394     981.05062      1116.87081     770.35456      889.74352      919.13054      1219.19665     905.55833      777.23701      1230.81721     1033.87112     1220.09255     924.78820      1137.12886     1028.56797     931.97680      871.38524      1076.45746     918.97661      890.74401      959.83989      848.74325      1169.87473     1144.72362     1048.19046     992.14330      915.73577      1028.87842     979.20151      886.11387      1048.21394     873.11392      1020.51895     919.74758      867.68799      827.74883      1125.25935     1170.04643     824.63741      878.97588      1036.31562     828.76841      1495.81939     1420.52259     1210.58905     1118.53154     1187.12299     1075.02157     831.47101      848.39634      867.79056      795.08220      844.22305      1131.14567     819.26980      1072.02126     818.33628      778.74550      891.93407      1070.51106     1369.70682     757.37147      1097.12895     1132.60993     1114.97432     740.42896      1512.78190     824.24992      801.86015      1025.90180     780.14355      718.79658      1136.17307     957.06060      1035.48744     1147.03603     727.71104      1100.68780     1085.83931     464.80471      948.41228      1068.56188     1003.13157     1078.35377     1119.18623     803.57317      1112.74234     991.32171      1077.81212     1049.48361     835.10859      356.70507      1496.81695     1069.35626     1463.41670     1026.05228     1086.27812     1154.61671     930.78211      941.68294      1164.35822     1427.13562     898.73446      1118.96108     1049.43630     1095.33366     1209.99134     1124.12789     1171.30652     1186.79222     1097.34528     1141.06238     1003.86879     800.62191      1008.51444     1602.73684     1003.28187     1067.98837     1052.02349     1133.78043     1114.60089     990.67066      1010.75460     1146.27332     1157.68818     1676.43549     999.01204      977.81947      1097.68318     1121.07019     958.09659      985.71130      1031.59749     1091.83820     1145.07535     982.34929      963.76271      1289.78381     1031.11180     1530.13145     1327.11553     1151.08782     1146.37641     987.53230      1156.84428     976.41297      1090.11504     1215.74225     1156.39157     1639.56941     1092.97017     1016.05223     1070.28752     1512.41717     1249.28584     1795.80566     1592.79428     1188.35948     1211.52673     1344.05264     1243.01197     1129.59869     1381.80168     1638.92185     1217.24150     1493.87588     1133.30552     
1962 09 30 749.98311      767.44293      1066.16839     1057.71058     1064.44719     1015.13118     903.51838      1025.76775     710.58613      825.45857      843.45975      1116.52854     829.86134      720.15073      1134.44958     957.91709      1118.24709     854.42796      1043.30883     945.58451      858.30057      802.73928      985.54131      845.79658      818.13138      880.85679      783.58307      1069.63415     1044.08497     969.21412      911.65320      843.36329      941.10464      900.49076      815.62029      955.99312      802.51768      933.64015      847.49492      802.57054      766.04642      1021.74193     1065.54028     764.46105      810.80349      939.03983      762.28448      1354.12699     1284.26224     1098.25591     1012.15077     1081.36416     979.31020      768.20218      782.34548      799.94864      733.88362      782.10579      1027.26596     755.90383      978.40220      754.66339      719.00592      820.96606      973.48029      1238.28114     699.36012      993.12876      1031.65480     1017.62345     682.28389      1362.22149     759.08827      736.26684      932.65446      716.84464      660.63451      1035.52577     863.76102      935.61564      1044.10834     668.12571      993.19109      975.75070      423.13948      867.34123      966.20044      916.96256      975.99859      1008.09389     733.45944      1003.94952     905.41116      970.06982      957.80461      756.92767      322.10888      1341.65231     963.97507      1315.77608     925.88078      979.68082      1042.84543     853.43427      861.71038      1049.72656     1281.35677     824.91926      1005.25784     943.35390      991.21730      1098.15395     1015.94736     1058.61118     1069.19149     986.07874      1029.33469     906.53271      712.95054      909.88500      1430.13486     916.75606      967.81890      959.15465      1019.87304     1008.04064     895.03195      914.34607      1036.26573     1045.35819     1492.40290     902.73390      882.83025      990.20029      1010.16436     864.29450      890.71624      932.51859      984.83915      1032.16136     890.16696      874.05665      1158.42169     929.57344      1368.71406     1199.34732     1036.50409     1031.46927     898.99066      1045.45801     890.95599      990.08288      1093.97919     1050.74946     1472.11184     995.70949      926.34785      975.27037      1356.41293     1135.22641     1605.46047     1432.52919     1079.55526     1100.80571     1209.76151     1132.08416     1036.78585     1251.76300     1472.72447     1105.88396     1350.47226     1030.48296     
1963 09 30 755.34363      775.25534      1094.75174     1084.47600     1089.64930     1037.08274     919.61889      1050.18888     708.75307      821.20826      850.50165      1149.13747     839.50833      724.32601      1170.79406     986.90061      1152.01212     855.82153      1073.47125     962.08105      868.19756      809.54067      1001.54357     852.38045      824.21798      895.37032      789.55310      1096.57127     1072.06968     997.73179      925.23121      851.89036      955.16414      915.09619      821.55374      980.73766      808.00058      948.10796      850.19644      807.22028      773.99644      1046.67912     1092.23279     770.06466      814.58071      961.64982      765.79938      1392.74087     1320.16742     1124.61458     1037.19607     1107.43541     1004.98859     773.68193      789.36750      805.36951      738.35378      783.38921      1052.25680     765.06625      1004.36083     763.81730      725.61776      826.26022      998.60567      1271.08382     706.54033      1016.68115     1053.72482     1039.23980     684.13126      1401.68253     762.81396      744.38575      952.64706      722.72424      666.89095      1057.79033     883.50630      957.80577      1067.02086     674.16242      1016.89559     998.84651      427.60546      882.46886      989.93420      934.02927      997.91257      1032.17641     744.41957      1027.49462     921.86880      992.81769      976.93448      770.97989      325.01531      1379.36963     986.73513      1351.23179     946.95264      1002.96067     1067.23714     867.45603      875.35355      1075.05193     1315.89589     837.46167      1028.88432     965.58807      1012.13011     1122.20631     1039.01716     1082.95407     1095.30352     1008.25003     1053.57105     926.94019      728.89485      930.44468      1472.40862     930.58296      987.52219      976.11082      1044.22035     1029.50454     914.69335      933.98574      1059.47313     1066.46184     1537.80568     922.49660      900.69405      1009.13343     1033.75425     883.39842      910.25482      952.70832      1007.35059     1056.99596     908.07455      889.24310      1187.39208     950.48362      1405.89986     1225.91316     1058.70308     1055.67593     912.20475      1067.89033     902.29263      1007.95114     1119.87317     1070.30228     1508.81367     1009.63172     940.83307      987.35792      1391.19739     1155.16622     1648.11483     1467.22251     1097.74120     1118.40872     1238.63495     1148.12386     1048.22475     1278.01818     1509.42873     1126.98608     1376.10094     1055.00149     
1964 09 30 690.82740      706.66394      987.65481      982.73148      988.63689      940.84103      835.07761      953.62579      650.69866      757.41901      776.17542      1031.49485     763.37445      662.20816      1049.55221     885.34065      1032.61893     785.06211      962.40135      874.11748      790.31280      738.53129      908.49906      778.31979      752.15415      814.29428      720.97593      993.82899      962.43056      894.89986      842.28993      776.56985      866.78572      832.45525      749.79100      879.24821      736.66091      861.34337      778.04655      738.13015      707.07103      943.17424      987.88416      703.83467      745.01726      862.36375      699.10352      1255.28569     1188.64703     1015.08344     932.04034      1001.86170     900.31478      706.04723      719.84588      735.50508      674.34090      718.88555      950.16635      698.19250      899.82937      696.82554      662.27574      754.56614      894.50249      1144.53260     645.09612      915.71582      954.78322      941.14795      625.30329      1259.43359     696.91725      677.16395      860.55422      658.17259      606.59713      957.69507      791.00010      857.68766      966.33624      613.11124      913.82398      894.13527      383.23295      801.88598      886.03157      846.78677      899.44157      927.02944      674.41518      924.24948      836.83454      887.79334      885.90724      695.09345      285.52079      1236.19443     882.89491      1213.24950     851.08053      897.55285      960.49975      788.80234      795.52596      966.53298      1180.24020     760.95030      919.62395      864.49787      913.94921      1013.23905     934.83689      974.46643      984.14205      904.50982      947.06990      833.60380      643.47430      835.86025      1315.80336     845.05752      889.71486      884.18882      933.01569      930.30997      822.61966      840.43368      953.41588      960.86129      1372.11335     829.69319      812.07072      908.28586      928.24224      792.41064      818.41581      856.72113      905.00395      944.64245      817.68266      804.39249      1064.32840     852.85489      1257.94584     1103.96339     954.61606      946.38225      827.82293      960.88542      820.02489      912.76163      1003.65048     967.23039      1353.21107     917.36709      853.68112      897.85362      1245.98294     1045.46079     1474.48886     1317.72236     994.89783      1014.04981     1111.08652     1043.75630     955.05159      1152.48778     1353.89538     1017.73163     1242.40874     954.05726      
1965 09 30 797.22190      817.42066      1131.73854     1120.23698     1126.76431     1076.09208     960.06122      1085.71688     751.31814      873.46923      894.20469      1187.27967     882.27707      768.29939      1205.66013     1020.20058     1189.71285     906.34416      1111.25482     1004.87376     914.22736      854.40210      1049.35308     898.71107      867.92500      937.14461      834.61352      1132.46179     1112.05035     1032.65298     969.63987      897.91339      1002.15866     956.87164      867.85650      1020.59548     853.48734      993.51142      899.84595      854.92966      815.79868      1086.82414     1129.80929     814.47124      862.49802      1003.12829     810.84563      1435.31003     1363.30644     1166.14487     1078.59847     1146.45041     1045.57313     818.87731      833.48564      851.68047      782.15085      832.33525      1091.10584     804.83777      1044.33043     803.44988      766.52382      873.73740      1039.72171     1314.88443     745.59798      1057.30858     1096.04839     1080.11935     726.91629      1447.67520     808.15419      783.99241      992.48682      763.70654      704.70388      1099.56326     925.00629      1000.63706     1108.57848     712.17613      1058.96068     1043.25888     454.83763      921.58115      1032.80618     974.17503      1039.40165     1074.98107     780.56225      1069.75403     961.81605      1038.13746     1016.83407     806.85283      350.91045      1429.04441     1031.15350     1400.13046     987.91763      1047.62857     1110.55511     906.52364      915.96197      1118.21092     1364.56435     877.29303      1075.84331     1008.53569     1054.50583     1166.70581     1082.47296     1127.27374     1139.00219     1052.33228     1096.90188     967.13848      767.74271      971.33391      1525.87254     974.57266      1031.73102     1019.79392     1091.22961     1072.45890     955.27601      975.58430      1103.85651     1113.66395     1593.91452     963.42719      941.44103      1055.62701     1077.55856     924.15560      950.71305      995.06853      1050.58303     1103.93396     949.96342      931.00058      1235.36764     993.11096      1460.35805     1276.25419     1104.39741     1101.21268     956.45533      1114.06524     947.39345      1053.41505     1167.53873     1117.70676     1568.61981     1058.36729     985.48927      1036.37549     1445.94604     1206.68176     1713.37890     1525.15276     1148.08034     1170.73698     1289.44375     1202.39181     1099.81629     1330.58514     1568.39722     1176.06079     1437.43292     1093.69799     
