       Date Drainage_3    Drainage_ 5    Drainage_ 6    Drainage_ 7    Drainage_ 8    Drainage_ 9    Drainage_ 11   Drainage_ 12   Drainage_ 13   Drainage_ 14   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 18   Drainage_ 19   Drainage_ 20   Drainage_ 21   Drainage_ 22   Drainage_ 23   Drainage_ 24   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 28   Drainage_ 29   Drainage_ 30   Drainage_ 31   Drainage_ 32   Drainage_ 33   Drainage_ 34   Drainage_ 35   Drainage_ 36   Drainage_ 37   Drainage_ 38   Drainage_ 39   Drainage_ 40   Drainage_ 41   Drainage_ 42   Drainage_ 43   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 47   Drainage_ 48   Drainage_ 49   Drainage_ 50   Drainage_ 51   Drainage_ 52   Drainage_ 53   Drainage_ 54   Drainage_ 55   Drainage_ 56   Drainage_ 57   Drainage_ 58   Drainage_ 59   Drainage_ 60   Drainage_ 61   Drainage_ 62   Drainage_ 63   Drainage_ 64   Drainage_ 65   Drainage_ 66   Drainage_ 67   Drainage_ 68   Drainage_ 69   Drainage_ 70   Drainage_ 71   Drainage_ 72   Drainage_ 73   Drainage_ 74   Drainage_ 75   Drainage_ 76   Drainage_ 77   Drainage_ 78   Drainage_ 79   Drainage_ 80   Drainage_ 81   Drainage_ 82   Drainage_ 83   Drainage_ 84   Drainage_ 85   Drainage_ 86   Drainage_ 87   Drainage_ 88   Drainage_ 89   Drainage_ 90   Drainage_ 91   Drainage_ 92   Drainage_ 93   Drainage_ 94   Drainage_ 95   Drainage_ 96   Drainage_ 97   Drainage_ 98   Drainage_ 99   Drainage_ 100  Drainage_ 101  Drainage_ 102  Drainage_ 103  Drainage_ 104  Drainage_ 105  Drainage_ 106  Drainage_ 107  Drainage_ 108  Drainage_ 109  Drainage_ 110  Drainage_ 111  Drainage_ 112  Drainage_ 113  Drainage_ 114  Drainage_ 115  Drainage_ 116  Drainage_ 117  Drainage_ 118  Drainage_ 119  Drainage_ 120  Drainage_ 121  Drainage_ 122  Drainage_ 123  Drainage_ 124  Drainage_ 125  Drainage_ 126  Drainage_ 127  Drainage_ 128  Drainage_ 129  Drainage_ 130  Drainage_ 131  Drainage_ 132  Drainage_ 133  Drainage_ 134  Drainage_ 135  Drainage_ 136  Drainage_ 137  Drainage_ 138  Drainage_ 140  Drainage_ 141  Drainage_ 142  Drainage_ 143  Drainage_ 144  Drainage_ 145  Drainage_ 146  Drainage_ 147  Drainage_ 148  Drainage_ 149  Drainage_ 150  Drainage_ 151  Drainage_ 152  Drainage_ 153  Drainage_ 154  Drainage_ 155  Drainage_ 156  Drainage_ 159  Drainage_ 161  Drainage_ 162  Drainage_ 163  Drainage_ 164  Drainage_ 165  Drainage_ 166  Drainage_ 167  Drainage_ 168  Drainage_ 169  Drainage_ 170  Drainage_ 171  Drainage_ 172  Drainage_ 173  Drainage_ 175  Drainage_ 176  Drainage_ 177  Drainage_ 178  Drainage_ 179  Drainage_ 180  Drainage_ 200  
1956 09 30 1769.39101     1856.30476     1445.81920     1551.95322     1753.39615     1734.08753     1741.44019     1583.99901     2791.70126     3034.37276     2400.62916     1431.13249     2443.98262     1844.94547     1448.75057     1244.97473     1454.11304     2793.35400     1347.04442     1975.80234     2273.46781     2341.66265     2545.10997     2419.28043     2537.91546     2078.67173     2234.31991     1529.66750     1349.28249     1236.62858     2248.92139     2411.05682     2703.95087     1943.49177     2613.95076     1207.70804     2842.30715     2597.71148     3014.65075     2482.05207     1779.26292     1303.19533     1471.50024     2011.19743     2827.09283     1155.42877     3006.53849     2502.48368     2519.25992     1990.87742     1254.78849     1958.09216     1163.06837     2681.89454     2671.03349     2925.64539     2716.59274     2704.56241     1406.33295     1889.94311     1134.36989     1999.13804     2256.34660     3127.27557     1183.65333     2387.56195     1965.80888     1337.97086     2481.31326     1863.88206     2981.56224     2583.32185     3150.75612     3049.67389     1684.60293     3303.38929     3152.78886     2079.27170     1007.47336     1051.20286     2519.10318     3378.03829     1259.65871     1143.88894     4086.80155     2651.31121     1072.39582     1832.45571     1522.59934     1316.53016     3558.02852     1363.08991     2804.88284     1050.60296     2333.76326     3923.46229     4996.64899     2767.32287     1044.27084     2473.34461     1308.69463     1052.52426     1801.61176     2274.32515     2594.96795     1720.86525     2657.98158     1851.45805     1078.65242     1191.95085     3752.54117     2032.29490     1941.77156     2117.84584     1822.84579     4735.34888     1826.07513     1512.64677     5900.12070     1473.64445     2980.48789     3249.25202     1816.35992     2267.36165     1089.21621     3425.20839     1527.94238     1698.76754     2086.63882     4527.83269     3053.24732     1567.11660     3738.23645     4563.61368     1810.08997     1253.52280     1656.81178     1797.99338     1790.92663     1119.40204     1785.40308     3617.70596     2312.74958     1514.14127     2771.38622     2392.50376     3795.21083     1840.88458     3419.60874     2019.32767     3378.12586     2838.83246     1585.97409     2272.42455     2682.24231     3353.22169     2529.35689     3192.96587     1960.42792     2518.53448     2824.84455     2407.60279     2959.00875     3269.91870     1602.63314     3278.22972     2341.85106     1480.23645     1864.76069     1232.63176     2841.18708     1544.86582     
1957 09 30 1477.44680     1570.98806     1225.99075     1299.00785     1471.88377     1468.17421     1493.07778     1323.06009     2195.21653     2409.98026     1988.37969     1249.19108     2048.13697     1560.70584     1287.58747     1112.52134     1289.24682     2294.08185     1194.81061     1702.61641     1946.93731     1974.47128     2191.55197     2019.95724     2113.45163     1792.50859     1898.26182     1261.66264     1162.14627     1105.52510     1939.00025     2071.14509     2327.83140     1677.22222     2194.38402     1057.56221     2387.65411     2238.34702     2481.43122     2111.17683     1536.20927     1082.74886     1211.66671     1740.81943     2380.79686     980.55989      2475.15082     2105.06247     2140.58122     1676.74932     1043.52430     1640.23937     1019.66563     2302.56439     2307.31164     2484.71710     2317.29430     2278.00691     1162.99248     1640.87497     994.07049      1744.26416     1970.60454     2644.00947     1037.43615     2016.81099     1721.71470     1111.85348     2149.80918     1592.20760     2433.88931     2194.67589     2644.45620     2636.82457     1407.37146     2818.91474     2716.97921     1786.44211     854.40647      900.66870      2187.32963     2895.53119     1047.17419     955.35050      3518.32489     2331.47088     923.95548      1564.15013     1271.20507     1096.86970     3088.06881     1135.47066     2476.14737     885.55538      2025.56048     3426.12958     4326.02738     2317.42195     889.15405      2073.93011     1088.72698     898.52828      1505.26303     2000.64116     2304.76382     1436.75376     2220.84407     1589.46260     901.72902      990.82368      3310.56247     1698.25163     1622.73424     1768.26760     1522.04594     4137.55706     1525.01901     1262.24254     5112.70406     1227.52655     2488.82637     2859.98505     1508.29734     1946.41007     909.88260      3063.09348     1275.07258     1418.85919     1737.30573     3951.59270     2546.31807     1307.98379     3323.73074     3955.84064     1510.77419     1037.64360     1383.26805     1500.72008     1495.07956     930.87168      1485.05213     3194.92463     1922.49741     1259.13201     2290.92567     1979.40655     3384.19764     1532.70261     3005.28692     1666.74888     2929.71597     2504.46748     1312.20396     1907.61524     2189.52579     2917.96665     2225.68224     2730.67817     1621.10633     2142.43330     2302.19322     1964.35014     2615.04082     2864.59455     1322.04267     2833.87436     2043.22615     1209.00124     1532.36586     1008.34702     2406.21391     1286.14813     
1958 09 30 1391.26663     1438.71386     1035.85709     1104.24043     1251.80285     1263.09155     1312.66925     1117.66002     2226.47791     2347.39075     1907.58818     1038.58173     1919.72153     1436.61220     1080.20653     932.28311      1065.55066     2173.52731     983.24979      1510.24628     1769.16055     1834.14971     1974.83322     1908.91769     2004.03664     1599.05834     1749.07778     1054.32193     955.39515      921.46004      1742.12904     1889.99599     2112.61163     1489.23486     2053.71826     860.69608      2226.62537     2025.03816     2340.48195     1946.29527     1376.78679     886.31127      1004.71736     1573.91344     2215.10550     793.92052      2337.55026     1795.56670     1856.26151     1419.51601     846.21892      1383.38353     833.36413      2095.06016     2090.29488     2289.72988     2122.09784     2118.62773     959.84295      1462.00894     818.63181      1554.29198     1769.82078     2454.14826     842.30507      1720.47550     1536.83491     910.58960      1902.07010     1385.56820     2314.34234     1894.66895     2465.97186     2380.56515     1170.61595     2581.01400     2455.67213     1562.52105     684.96429      727.88659      1926.97027     2633.29930     849.98896      762.00961      3177.69268     2072.71710     751.97325      1362.24602     1050.18988     892.92580      2773.74142     930.85132      2188.40626     711.55167      1778.95952     3060.24292     3880.84843     1940.05112     717.06760      1769.09398     890.65138      726.38048      1243.77802     1753.40822     2011.88198     1182.64186     1853.71487     1394.80228     720.47589      797.73659      2931.33209     1469.00757     1339.66081     1467.67013     1252.11246     3679.07488     1254.22842     1034.31029     4566.01191     1002.39040     2084.52502     2519.77525     1255.93811     1691.04381     738.17236      2655.78931     1043.62822     1165.81917     1446.55781     3507.56259     2145.41162     1071.19856     2899.16456     3521.68760     1235.03727     846.88773      1133.85431     1233.04026     1223.79290     769.96353      1232.12763     2795.70127     1588.98333     1025.53902     1938.84204     1708.82024     2919.25736     1248.56710     2622.49593     1396.29308     2593.90663     2150.32004     1068.40335     1653.29144     1880.93090     2542.00242     1909.59924     2422.90710     1323.19852     1842.26523     1970.25164     1670.93055     2218.27778     2450.31961     1078.09367     2447.67357     1713.59504     1002.15920     1260.73789     829.19060      2042.28561     1067.60860     
1959 09 30 1908.03083     2010.72010     1627.43576     1731.19452     1970.85068     1938.78692     1959.85318     1775.58730     2936.23171     3163.22118     2574.83591     1617.73685     2634.89419     1995.23998     1630.20819     1406.13043     1639.44771     2959.35783     1524.60449     2227.00823     2462.92396     2527.00039     2778.50372     2602.66339     2721.60360     2323.61440     2413.99038     1713.93560     1541.44403     1402.94438     2491.38921     2611.42346     2941.72072     2210.64258     2810.93326     1381.27490     3048.67067     2851.62611     3191.56630     2668.73134     1991.38968     1493.76928     1669.60349     2202.71899     3018.87726     1343.67006     3177.29968     2840.25355     2890.64811     2305.55114     1451.33628     2225.83326     1335.04618     2884.81096     2884.80309     3129.57585     2918.18979     2873.28561     1624.62476     2138.69711     1303.54343     2246.95979     2470.44456     3320.00335     1356.91101     2750.66965     2186.73430     1566.74810     2841.20096     2164.75091     3125.06108     2995.28430     3326.93938     3288.54183     1938.44261     3523.33911     3386.92716     2409.73633     1185.40822     1225.21737     2904.99738     3610.54849     1491.20204     1366.34355     4373.45210     2968.75831     1243.60193     2116.18202     1791.26680     1577.43833     3843.94590     1631.54846     3139.00120     1238.45085     2692.55586     4265.97111     5373.11910     3178.20178     1223.43412     2855.79506     1558.13841     1229.71723     2099.44241     2599.97942     2895.89369     2022.54353     3042.09517     2114.02347     1280.03826     1419.49422     4121.58248     2324.96724     2237.79347     2424.78757     2133.42199     5141.47399     2125.40278     1780.39047     6336.79660     1732.94916     3413.61487     3547.44894     2072.13851     2539.76608     1278.57559     3800.26904     1790.27087     1966.12619     2380.21397     4903.50972     3496.77986     1831.01676     4109.40902     4892.65922     2104.50730     1471.08137     1924.97759     2071.50465     2078.63509     1294.40547     2037.90985     3954.60760     2642.92740     1765.67874     3134.30138     2670.57649     4164.65557     2126.59516     3711.11908     2283.66133     3610.46048     3129.42280     1835.37016     2511.20972     2986.80127     3572.49072     2786.34036     3342.49457     2253.65445     2766.37904     3152.37771     2696.43294     3229.12734     3525.81437     1848.10779     3440.90776     2516.17631     1681.32623     2128.26571     1406.46526     3094.17973     1789.32807     
1960 09 30 1595.08102     1712.08733     1384.85936     1467.83541     1657.73571     1645.30765     1678.47205     1491.96465     2367.33661     2574.19778     2131.56129     1384.17773     2225.04011     1701.27018     1388.27781     1189.40065     1407.39289     2448.24824     1303.21132     1918.49569     2109.98052     2149.34418     2367.03751     2187.38331     2266.74467     1983.06288     2059.10587     1437.23414     1309.47408     1184.63556     2094.09063     2228.64431     2504.39282     1882.44424     2381.78304     1176.71748     2572.28676     2405.08544     2658.46369     2268.40988     1674.74758     1244.98009     1390.73004     1863.79191     2550.34959     1125.99729     2663.06629     2378.55424     2429.00134     1905.94144     1205.83405     1852.18414     1133.12259     2451.62192     2452.86559     2653.97481     2476.58659     2426.26932     1341.81582     1787.74105     1102.06281     1881.81693     2090.13033     2811.11610     1157.06010     2286.75229     1836.90010     1286.69105     2396.39342     1815.53793     2620.85109     2499.28145     2808.14322     2791.09913     1595.89349     2985.51626     2873.15221     2024.50509     986.65383      1031.99204     2435.14198     3059.62715     1219.85344     1116.57145     3705.49062     2494.69854     1055.23052     1757.16972     1462.98219     1283.12516     3254.32837     1326.90890     2634.10950     1036.58900     2242.87692     3600.56409     4542.98428     2622.16107     1029.15174     2364.92678     1272.33290     1037.78596     1721.16766     2167.11952     2418.67574     1654.23327     2511.72430     1759.43388     1063.04715     1162.76166     3464.96010     1923.85809     1844.15414     2002.61899     1748.44765     4325.71202     1746.21859     1457.55520     5339.97327     1422.60481     2824.90395     2970.08366     1718.80273     2109.44847     1083.16159     3168.81823     1469.09886     1619.85163     1971.39840     4119.10108     2902.74437     1504.05924     3429.80827     4112.35905     1733.51155     1215.04263     1584.61747     1711.10429     1712.71616     1119.79511     1690.20903     3297.44204     2194.26573     1458.11478     2608.80143     2215.64234     3465.73269     1762.28725     3093.30410     1905.69692     3023.25582     2601.09485     1529.97267     2082.17809     2484.40761     3007.69802     2316.20625     2831.25782     1889.41280     2306.21857     2627.20366     2250.83919     2698.47416     2958.91164     1550.57400     2935.64487     2122.89929     1425.07123     1801.16110     1195.56084     2595.68932     1472.95770     
1961 09 30 1702.92766     1821.21294     1457.35995     1532.92964     1722.86314     1722.82042     1756.36903     1552.23161     2404.41774     2593.95307     2251.28340     1466.61636     2347.94181     1798.40807     1515.95660     1309.64179     1493.57798     2521.50781     1382.82686     2005.45733     2246.97901     2261.10103     2542.16022     2300.28831     2371.08954     2104.03578     2177.38626     1477.05323     1365.64759     1295.14433     2259.31755     2379.31433     2685.56460     1969.07465     2488.08158     1221.86173     2665.65409     2590.92735     2731.81530     2379.15727     1792.99158     1265.84066     1415.49088     1987.36136     2642.76079     1150.46978     2747.16316     2447.63744     2506.85061     1951.03896     1219.59544     1896.93023     1184.03819     2562.07662     2578.03920     2756.96022     2573.31659     2512.76266     1356.90827     1904.12024     1164.55831     1995.93643     2196.37663     2921.05145     1195.55265     2341.91076     1943.45283     1294.14885     2510.45728     1877.34565     2708.17390     2576.97599     2909.07936     2909.61339     1615.99699     3092.35394     2978.81139     2100.35395     996.81104      1050.12561     2547.11170     3162.76899     1219.42601     1112.19202     3823.37130     2618.77634     1079.88510     1834.46975     1468.22492     1278.32256     3367.75508     1324.15313     2753.63472     1038.58068     2350.55246     3724.84589     4681.38509     2666.48816     1039.13690     2449.41065     1274.84377     1050.21985     1736.73583     2273.45442     2529.49485     1667.14246     2555.25529     1850.71581     1058.47900     1160.90933     3595.73227     2010.40185     1876.95194     2041.23192     1768.26507     4456.22131     1773.09086     1475.22393     5485.19983     1444.41770     2892.17655     3058.48577     1771.24363     2219.52883     1080.00660     3312.99866     1493.37660     1652.75753     2019.95940     4229.16678     2997.64627     1530.74532     3552.20152     4218.68219     1773.73887     1228.65121     1617.13200     1754.09525     1751.87522     1120.61727     1740.16148     3384.50028     2267.11184     1490.66252     2719.65089     2331.09453     3587.70948     1816.19150     3157.45479     1975.93744     3095.66726     2720.09001     1559.01396     2199.25351     2598.01128     3085.40690     2419.08938     2912.73861     1918.92739     2385.10706     2723.11300     2320.45856     2788.88165     3025.72419     1566.40545     3029.22129     2177.16038     1421.92985     1808.80375     1185.96264     2653.25305     1496.47859     
1962 09 30 1436.84947     1538.69316     1304.93771     1371.93910     1511.95015     1494.03249     1518.47424     1374.84080     2057.91189     2228.32814     1912.41028     1300.51155     1991.65154     1522.54104     1319.45467     1129.47969     1317.76769     2168.37572     1217.83678     1744.09375     1885.19309     1918.21084     2149.27004     1955.69926     2027.14126     1826.32718     1836.28638     1331.11828     1219.79443     1117.04907     1955.05941     1990.67066     2258.72009     1712.35570     2120.71904     1089.11890     2287.93831     2213.73239     2346.65730     2012.79998     1553.83266     1140.30397     1278.43679     1685.12649     2259.62182     1032.91882     2342.42928     2156.04035     2191.81858     1726.80757     1099.64471     1682.54293     1053.20540     2169.51528     2173.86961     2345.62207     2191.75150     2141.16655     1219.64957     1625.55854     1027.93352     1704.45791     1867.13980     2477.24582     1070.04111     2067.72489     1666.26563     1159.37486     2155.52091     1644.77394     2287.93522     2258.59081     2465.80819     2468.00628     1444.02295     2629.99498     2535.42154     1826.27666     896.10172      949.19508      2168.90845     2694.72751     1092.68566     991.78517      3259.89825     2228.55587     972.63818      1573.78087     1310.82301     1138.47334     2874.45031     1177.08996     2333.13861     925.20478      1984.24766     3178.43217     3992.98031     2374.74448     934.74022      2139.01041     1125.10938     946.40463      1543.32273     1905.11086     2132.21587     1475.94328     2272.83090     1561.88972     936.61341      1025.10991     3061.40379     1741.61342     1653.22176     1804.13792     1559.46876     3796.02261     1557.67138     1293.74340     4664.45250     1256.23469     2553.12763     2597.02801     1543.45191     1879.24618     947.94080      2787.19562     1302.74810     1444.02085     1777.13462     3599.52654     2621.51563     1334.90852     3004.08756     3572.47461     1535.97145     1066.21633     1408.38486     1524.56344     1519.95381     969.85343      1516.54875     2867.60035     1959.67643     1282.53929     2355.51555     2003.41213     3022.44277     1552.42141     2670.19100     1712.54698     2603.08460     2292.39336     1337.99432     1873.80295     2244.05339     2580.08754     2041.55131     2417.42423     1653.20712     2039.56745     2362.59193     2018.50218     2360.89544     2559.69963     1352.35360     2510.09407     1849.33434     1247.64672     1576.71473     1039.57772     2284.11007     1331.48594     
1963 09 30 1419.43397     1499.04709     1122.32937     1184.65273     1321.65252     1336.55230     1385.55302     1187.64795     2194.40329     2331.88791     1911.34693     1120.90164     1965.53478     1489.75474     1163.48111     1009.80970     1141.72545     2185.12288     1059.40834     1603.40018     1841.88555     1887.24134     2061.28202     1939.43184     2016.39243     1687.89644     1804.85128     1135.63899     1046.23463     1000.25484     1813.97044     1951.47181     2189.01024     1563.49074     2095.72732     935.13042      2260.17209     2096.65584     2356.62033     1979.98124     1430.52388     966.36964      1091.28938     1609.46878     2236.78004     875.15578      2350.01611     1885.28953     1941.80229     1511.90625     928.28105      1464.19133     907.34621      2114.96958     2113.00141     2303.52583     2138.41090     2126.19013     1044.84183     1492.68759     894.56530      1572.20710     1773.56096     2459.06791     914.06140      1819.24209     1545.58611     992.85875      1964.88840     1467.10510     2313.00911     1995.65777     2460.95370     2385.82842     1256.79130     2576.80496     2453.93098     1641.55801     751.72950      798.35013      1971.16198     2623.49495     931.85862      834.91302      3157.07689     2065.29943     824.35529      1408.24745     1141.23559     981.03674      2752.49831     1022.55143     2168.49979     781.17194      1800.57993     3024.63360     3843.35349     2078.99541     786.56716      1883.46138     978.44353      796.91131      1346.78183     1750.99520     1989.08409     1286.98639     1989.57950     1413.75571     790.91462      876.32568      2886.95656     1540.47543     1445.07899     1578.79291     1360.68797     3625.90752     1360.19275     1128.41559     4505.37497     1096.28182     2238.84043     2472.55490     1355.09127     1710.73163     813.56026      2615.55207     1137.11660     1262.05305     1557.83549     3452.18684     2304.63683     1165.56942     2842.38446     3462.25308     1342.29671     930.97606      1230.56515     1333.81858     1328.43440     853.30669      1330.14823     2733.76556     1719.42137     1120.91742     2076.37537     1784.18821     2868.62440     1359.05877     2568.18225     1509.99981     2537.18447     2141.48573     1172.99592     1689.88404     1991.65671     2526.48395     1912.70115     2417.15848     1455.34260     1917.27264     2103.73056     1798.14806     2240.74414     2464.75010     1189.74836     2497.38656     1773.19702     1110.83532     1395.07228     923.77130      2177.83379     1148.38253     
1964 09 30 1799.00070     1944.51385     1670.97853     1773.76745     2006.22176     1960.91834     1952.12481     1816.66681     2536.59422     2818.81293     2372.45754     1659.24847     2509.55632     1930.09094     1661.82863     1431.26106     1675.63032     2709.44608     1557.41982     2199.54144     2416.75793     2431.88730     2734.99425     2454.35250     2507.43746     2284.78109     2343.97769     1767.39353     1585.75128     1431.03274     2438.21458     2562.31784     2891.33791     2163.67693     2673.79242     1421.30139     2847.15374     2792.95203     2930.16073     2571.46360     1942.78907     1538.98361     1720.37915     2153.94793     2830.85636     1385.22647     2936.43405     2878.99013     2887.03444     2301.59463     1493.32045     2259.72116     1381.70406     2788.40112     2805.82045     2990.76315     2800.82818     2694.41570     1666.10956     2067.75317     1350.31580     2177.34045     2406.77819     3148.86516     1402.65066     2751.00896     2128.63390     1600.76314     2757.21660     2125.99310     2897.56021     2968.11234     3123.87658     3181.51229     1965.71003     3364.06160     3260.75119     2351.34914     1224.70252     1277.39807     2803.71343     3454.36349     1522.72902     1394.83255     4193.71609     2879.40362     1301.11954     2067.07957     1816.71085     1605.17731     3704.37960     1658.88433     3040.79132     1277.77986     2593.94984     4115.82058     5159.92188     3203.44288     1273.09274     2848.35497     1587.45692     1283.01052     2128.91122     2498.83904     2812.02940     2053.52469     3079.12024     2058.00192     1311.38359     1450.49730     3993.73238     2313.73373     2271.94714     2461.39072     2167.25878     4944.21776     2160.12572     1811.27511     6075.97751     1767.73536     3452.62955     3415.14513     2113.73909     2508.54251     1314.13617     3698.44205     1822.81662     1999.84160     2422.29118     4701.60895     3533.34928     1864.13268     3978.20332     4694.87152     2145.05623     1507.93815     1959.69946     2109.71761     2117.64937     1333.03727     2078.77458     3798.72234     2700.63167     1806.53748     3193.31067     2702.44857     4037.24337     2175.35400     3555.09400     2338.95834     3470.29885     3077.95154     1878.68987     2528.53795     3052.17089     3458.02932     2746.81580     3251.66164     2291.54610     2755.14589     3223.19326     2759.39504     3168.03990     3422.53940     1882.11783     3374.09165     2479.78110     1701.50186     2152.88989     1417.96613     3085.39431     1825.18968     
1965 09 30 1537.19011     1633.46294     1330.63250     1411.93936     1601.24305     1573.27336     1588.44524     1449.93130     2284.35573     2487.05016     2052.27038     1324.44674     2129.91278     1623.10781     1308.25945     1121.16446     1338.37424     2345.25353     1240.42892     1829.79329     2028.54126     2052.68750     2308.37081     2094.38301     2159.68679     1927.82565     1976.13710     1397.37886     1267.15020     1125.99891     2082.30976     2163.96764     2446.76081     1803.62198     2265.53426     1139.69576     2424.53221     2381.54124     2525.70600     2168.60392     1649.29603     1221.26051     1359.08809     1819.29522     2402.59081     1108.16631     2520.31078     2291.65913     2303.24693     1855.59364     1185.21156     1808.40002     1106.25351     2340.97636     2354.64072     2514.81912     2351.54310     2284.15906     1320.41240     1723.59111     1076.24267     1813.52481     2011.04907     2655.66521     1128.07257     2208.40438     1780.38724     1273.69561     2273.06599     1733.67908     2486.42134     2382.40399     2646.99265     2661.62806     1583.09084     2822.17189     2726.76110     1925.98963     982.48121      1028.38728     2287.51099     2891.51468     1211.04990     1113.51203     3502.06790     2378.23671     1048.68352     1664.27021     1456.38379     1278.99111     3086.14529     1322.23850     2489.85109     1027.71628     2094.90326     3422.51619     4300.48169     2586.01213     1025.81406     2282.88262     1266.71268     1034.71066     1714.17826     2013.24328     2272.17859     1649.35553     2482.65170     1650.89665     1052.11456     1156.38284     3301.07952     1847.36768     1836.87746     1986.70375     1743.58759     4112.10317     1741.49694     1455.14595     5061.23878     1419.38947     2774.41395     2826.68414     1690.27546     1993.96612     1059.03222     2970.75700     1467.15532     1615.91444     1944.84879     3914.02753     2824.37372     1501.81844     3249.25479     3905.06288     1731.83577     1204.08981     1581.86079     1704.96706     1710.42643     1074.13903     1667.96174     3138.50475     2166.51568     1453.08679     2531.46588     2134.65498     3261.74188     1755.55559     2944.59489     1849.62544     2878.87378     2443.27914     1498.31202     1992.86082     2389.52670     2850.08370     2172.66699     2680.90115     1808.98250     2170.46358     2509.48767     2146.23455     2523.93802     2795.17383     1482.03489     2757.88575     1987.90665     1299.75796     1663.54430     1081.95005     2429.25859     1456.12868     
