       Date Drainage_3    Drainage_ 5    Drainage_ 6    Drainage_ 7    Drainage_ 8    Drainage_ 9    Drainage_ 11   Drainage_ 12   Drainage_ 13   Drainage_ 14   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 18   Drainage_ 19   Drainage_ 20   Drainage_ 21   Drainage_ 22   Drainage_ 23   Drainage_ 24   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 28   Drainage_ 29   Drainage_ 30   Drainage_ 31   Drainage_ 32   Drainage_ 33   Drainage_ 34   Drainage_ 35   Drainage_ 36   Drainage_ 37   Drainage_ 38   Drainage_ 39   Drainage_ 40   Drainage_ 41   Drainage_ 42   Drainage_ 43   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 47   Drainage_ 48   Drainage_ 49   Drainage_ 50   Drainage_ 51   Drainage_ 52   Drainage_ 53   Drainage_ 54   Drainage_ 55   Drainage_ 56   Drainage_ 57   Drainage_ 58   Drainage_ 59   Drainage_ 60   Drainage_ 61   Drainage_ 62   Drainage_ 63   Drainage_ 64   Drainage_ 65   Drainage_ 66   Drainage_ 67   Drainage_ 68   Drainage_ 69   Drainage_ 70   Drainage_ 71   Drainage_ 72   Drainage_ 73   Drainage_ 74   Drainage_ 75   Drainage_ 76   Drainage_ 77   Drainage_ 78   Drainage_ 79   Drainage_ 80   Drainage_ 81   Drainage_ 82   Drainage_ 83   Drainage_ 84   Drainage_ 85   Drainage_ 86   Drainage_ 87   Drainage_ 88   Drainage_ 89   Drainage_ 90   Drainage_ 91   Drainage_ 92   Drainage_ 93   Drainage_ 94   Drainage_ 95   Drainage_ 96   Drainage_ 97   Drainage_ 98   Drainage_ 99   Drainage_ 100  Drainage_ 101  Drainage_ 102  Drainage_ 103  Drainage_ 104  Drainage_ 105  Drainage_ 106  Drainage_ 107  Drainage_ 108  Drainage_ 109  Drainage_ 110  Drainage_ 111  Drainage_ 112  Drainage_ 113  Drainage_ 114  Drainage_ 115  Drainage_ 116  Drainage_ 117  Drainage_ 118  Drainage_ 119  Drainage_ 120  Drainage_ 121  Drainage_ 122  Drainage_ 123  Drainage_ 124  Drainage_ 125  Drainage_ 126  Drainage_ 127  Drainage_ 128  Drainage_ 129  Drainage_ 130  Drainage_ 131  Drainage_ 132  Drainage_ 133  Drainage_ 134  Drainage_ 135  Drainage_ 136  Drainage_ 137  Drainage_ 138  Drainage_ 140  Drainage_ 141  Drainage_ 142  Drainage_ 143  Drainage_ 144  Drainage_ 145  Drainage_ 146  Drainage_ 147  Drainage_ 148  Drainage_ 149  Drainage_ 150  Drainage_ 151  Drainage_ 152  Drainage_ 153  Drainage_ 154  Drainage_ 155  Drainage_ 156  Drainage_ 159  Drainage_ 161  Drainage_ 162  Drainage_ 163  Drainage_ 164  Drainage_ 165  Drainage_ 166  Drainage_ 167  Drainage_ 168  Drainage_ 169  Drainage_ 170  Drainage_ 171  Drainage_ 172  Drainage_ 173  Drainage_ 175  Drainage_ 176  Drainage_ 177  Drainage_ 178  Drainage_ 179  Drainage_ 180  Drainage_ 200  
1956 09 30 229.20315      202.10339      432.85435      469.11179      559.20017      553.16647      547.50610      531.07422      677.73042      637.77961      426.39875      320.24325      411.58205      219.13824      337.67473      288.39694      369.22443      553.58152      402.82520      470.95537      283.03145      343.99529      405.56640      438.80250      449.61280      323.81306      288.84834      409.73051      413.87163      332.70419      316.52527      346.42073      420.93212      489.06231      418.47256      287.22677      520.42182      378.38623      598.90680      473.26554      327.68719      471.13980      309.72026      435.57025      472.51653      272.95973      719.00157      741.86407      629.49984      608.48311      273.67045      562.83413      269.16374      604.03015      469.97617      513.70210      512.09451      424.33309      318.62380      405.33872      215.59337      378.81081      444.64678      621.54177      340.19359      768.03346      348.05562      269.14187      433.81243      544.03870      866.05192      640.95495      694.24962      598.92081      424.28392      827.69887      765.91579      571.56295      214.58561      257.78449      632.16096      897.63707      224.92109      245.94472      1729.26567     428.72153      173.64068      652.40780      358.15521      274.95232      803.17922      297.71745      542.37053      180.68678      587.64811      999.32636      1888.87772     778.73906      249.22717      711.47567      280.52118      311.90347      437.88621      659.00733      705.43334      405.80926      765.12000      651.98126      178.84576      200.00793      670.34472      497.17865      608.70284      632.07759      406.40707      1092.25035     452.86259      356.44949      1818.53387     321.62107      763.39058      669.71992      185.83376      647.17394      231.99393      739.08031      444.45356      622.46899      582.28835      914.36624      616.23108      502.53210      1078.40781     970.73530      486.33013      234.14751      547.89648      454.57027      462.81855      218.11154      524.49987      924.86759      654.88421      397.94131      719.67493      663.12177      907.99053      449.73325      825.92743      514.81030      528.07164      665.03931      387.54391      664.54703      772.63537      624.92380      527.19975      526.35977      543.32698      620.17594      664.34698      658.40789      569.56798      672.46421      316.85028      584.40722      643.74547      278.65820      401.98371      280.11064      546.56821      422.79434      
1957 09 30 274.88914      272.90525      392.44656      554.15498      691.77590      511.48051      535.34794      624.62045      884.28697      832.75003      562.12934      241.24582      566.04917      321.21156      264.90224      341.87065      450.54197      718.54394      472.64455      551.69879      394.81244      470.05970      479.48005      546.34900      663.95668      379.06061      384.90475      486.02297      656.59802      445.00047      463.25467      469.10041      518.37508      566.76001      585.45641      341.56218      728.05289      472.54417      775.47800      684.71040      482.51066      338.81203      388.41487      559.66673      733.92777      297.76345      905.69291      755.48736      682.23968      663.34398      362.22502      629.04768      303.80889      840.15238      675.64811      749.01221      705.95096      628.95581      444.59291      563.04483      198.15560      550.31754      648.52180      894.12374      515.53072      852.65343      518.10792      355.23873      648.47326      523.85962      1043.66352     703.73910      930.45396      856.98579      644.82067      1095.69026     1072.42812     658.48624      199.52024      206.58172      842.89765      1132.79386     287.93759      337.04974      2029.68690     696.76339      114.16578      634.19471      326.01351      211.09118      1075.31318     257.70571      834.68457      153.17714      800.78038      1292.33013     2240.82297     1061.17740     213.88041      703.64570      225.54359      278.43388      417.11499      902.53378      971.32697      331.51387      1048.82792     621.20953      118.19479      138.70607      1017.08833     478.93538      600.97863      589.70398      347.60582      1443.05991     428.61078      288.91439      2073.46544     245.45073      851.76394      1001.09612     169.10954      796.84683      161.09053      937.11181      423.15929      577.87886      534.20570      1295.21575     789.61481      515.44257      1361.33292     1198.44353     437.35567      139.18277      548.14503      422.83091      436.22830      131.65781      487.40730      1272.09817     582.01981      291.26356      769.42347      655.51041      1039.72838     387.80428      1201.33442     458.90078      870.10986      927.89936      287.40904      713.43620      736.53456      944.23723      741.90799      688.69205      472.54517      719.78069      705.54504      593.86206      813.63274      968.95299      214.00426      931.67983      710.11988      171.82574      279.74158      202.92882      773.89682      528.46567      
1958 09 30 156.32020      116.57631      194.50327      301.62197      381.82502      277.53854      327.98373      335.78383      587.29057      531.08767      282.81192      99.04767       253.42015      167.42198      145.04572      171.80132      226.87962      421.24849      229.34141      439.32486      215.84988      210.98040      285.36388      353.27663      319.53895      246.94143      172.32766      226.96110      324.08507      236.11101      342.06371      221.16678      261.25616      449.94789      298.59446      147.65454      367.43764      199.77271      442.19875      483.54903      405.30749      210.24856      174.62188      499.25069      378.32182      134.08841      541.37899      427.37537      450.79599      376.52817      161.87794      287.03709      135.65104      612.53025      392.72031      451.15574      393.07138      367.59872      198.79090      483.29476      81.69046       481.40738      454.62038      494.06192      209.30272      477.48301      383.79270      142.83307      570.69148      288.30137      684.97681      444.40672      563.30789      506.46690      318.03515      736.11565      687.19563      457.47075      36.68076       56.05617       711.52587      848.32297      109.54398      139.82296      1981.97603     453.01386      21.48000       398.51981      166.57479      56.18500       832.37961      88.20229       597.83753      20.44289       697.52267      973.65614      2544.31833     660.87722      77.12661       387.80379      52.93232       85.23703       198.16862      699.07518      784.83860      146.69688      610.43176      427.49061      18.70181       1.43105        542.95260      255.26535      276.35870      272.33305      158.80370      1004.17212     214.65867      83.79590       2355.59684     63.05899       498.67891      720.91346      127.88307      564.31002      45.67524       524.85971      198.76631      283.72660      256.05954      753.35183      479.75889      260.91919      885.92406      800.22997      228.12992      2.69459        268.87195      219.97670      228.81383      34.23534       247.53044      761.73558      274.57069      107.39397      475.46402      384.43395      632.42649      199.06999      728.14178      237.02568      443.89031      689.37602      130.51111      462.15413      408.76258      548.20497      582.05818      339.52286      193.38162      502.58580      422.25471      292.20002      610.61952      708.61535      86.08215       665.36757      489.89706      58.61284       166.21859      58.04668       560.62993      236.32815      
1959 09 30 332.00590      297.59678      511.63314      696.28677      895.12213      693.35922      665.47068      757.24537      971.77215      948.02188      633.86334      305.86956      716.85295      365.23889      324.51552      399.48252      511.92638      844.81932      598.01624      790.97783      479.99801      501.02041      559.50975      629.91720      818.18532      489.59461      408.98182      640.66250      802.78543      498.47085      574.28408      507.99851      582.25660      809.89837      720.47157      425.57909      917.58135      549.10607      963.65637      722.19999      613.36273      496.76665      542.88636      706.22671      813.80578      420.14141      1144.30683     1011.81622     835.72405      920.68867      517.04839      794.22762      363.37385      925.42374      739.53955      869.65870      819.86904      732.07894      608.76028      761.25330      246.92097      707.77771      696.84806      1004.45948     610.35440      1134.50964     621.80250      527.51911      874.73477      675.09683      1258.38782     1022.02828     1099.62795     1021.86318     789.37785      1315.11834     1224.73636     926.19885      279.05512      308.54226      1183.18929     1426.00852     416.24636      478.87682      2325.61983     830.19442      188.59075      764.27865      478.66055      397.70774      1380.31593     443.93749      983.37758      246.65544      1166.11816     1607.52211     2692.82820     1478.95111     288.62903      891.97223      369.54633      404.56130      583.80896      1176.39865     1238.29417     527.31862      1405.65715     808.18266      217.99021      236.95075      1081.83467     665.32631      693.08474      758.23219      558.54380      1731.28719     580.37146      448.60298      2689.99983     399.07922      1233.70828     1170.32327     201.72816      1063.15707     286.82152      1142.53753     588.79125      722.59419      690.60521      1412.73315     1123.24872     692.51654      1586.69175     1477.59558     619.54830      240.47452      737.01221      600.09616      600.84526      225.01993      646.73960      1421.68013     745.91464      492.13067      1098.62034     817.86361      1271.59443     613.91374      1315.60165     582.24871      903.04852      1094.82288     433.93877      913.12522      995.85648      961.61262      849.14588      644.48715      665.03148      862.37952      882.20482      800.47419      940.93907      1100.64506     378.00957      969.49084      819.89602      285.54406      424.92866      328.08881      1015.05302     702.33679      
1960 09 30 324.64322      320.63167      405.53950      588.70949      712.67380      532.15240      505.12323      628.06061      876.75936      673.33156      550.93707      223.77308      484.32775      357.51104      278.97526      330.52088      442.63203      601.19485      454.67576      636.40997      445.57224      532.21644      524.07993      613.82264      540.78224      475.85106      465.68315      493.12718      702.99873      423.38825      551.94316      532.83818      559.66298      641.03372      509.43851      319.74660      630.92224      532.17465      659.87862      690.42903      546.60584      361.73481      406.31310      659.86749      583.37925      295.80172      846.82444      790.27088      646.02717      694.23585      358.11645      570.68021      279.12359      846.41553      682.61964      629.19870      571.73679      522.67388      447.80943      649.35112      190.85198      632.62869      656.16218      728.76608      451.41087      848.60462      576.95582      342.15951      773.79156      524.40603      969.32357      668.43150      858.72334      806.87189      624.86037      1049.28700     960.81366      680.79366      190.98093      198.48598      862.67017      1155.01895     290.28961      317.65819      2403.96661     672.45213      129.88158      663.66730      330.54038      227.18456      1171.18372     260.84595      838.43526      159.42874      800.43247      1359.17489     2739.15522     1092.53470     199.18265      685.48115      253.67851      268.14419      424.23475      931.24438      934.53466      331.45997      1041.17512     629.44549      142.66345      150.95861      777.85168      467.33389      542.13109      567.68691      358.39238      1443.03042     444.61323      322.43926      2646.62041     282.67241      788.51741      968.26106      169.54160      800.80321      186.71910      799.39084      443.40629      580.52624      534.85140      1065.20523     740.72866      520.46858      1208.01105     1214.18315     449.53688      162.97692      587.10875      420.73694      451.34498      199.29217      488.77125      1014.48837     579.01909      325.22479      754.33198      634.24622      895.39252      403.42762      943.82372      424.48744      652.96775      921.79539      335.77882      676.59791      739.37432      847.90166      758.56897      629.81751      477.22392      708.14956      698.43847      579.69458      851.44745      896.55654      250.73336      888.74880      623.78755      203.83583      326.64914      221.29012      768.89805      515.73261      
1961 09 30 355.50555      360.30281      459.61441      622.03126      736.10781      563.52413      558.71269      641.80058      862.94836      720.93969      544.99114      286.73799      689.21911      399.18710      360.37669      405.80113      501.07733      657.75856      509.99388      734.16957      512.59196      510.22940      646.03527      596.06496      712.34229      571.88884      461.67852      516.22405      700.25216      504.18551      689.28495      564.61469      623.71022      725.92967      619.97925      364.64676      833.09017      602.13274      839.09321      754.20035      645.86927      423.67784      419.38684      733.05833      793.82553      321.16367      943.09539      796.78978      767.81544      713.41842      375.82714      602.56436      328.06235      941.28469      754.43656      777.67345      732.57567      606.11488      457.80047      781.82638      223.38906      752.66715      739.12900      996.95721      495.79400      873.87742      685.02865      361.03282      871.98256      554.50728      1077.53806     803.11769      980.92607      1008.65692     637.38986      1178.28749     1186.72174     756.10020      222.33864      231.33737      1073.31105     1234.56328     286.11619      334.44270      2447.10031     810.08741      127.79170      685.94763      325.45570      237.59584      1236.67187     268.76745      967.26475      153.96901      982.36314      1490.96661     2968.53586     1209.46480     217.22664      779.85287      260.12143      301.67042      419.32351      1040.42917     1170.50209     320.59554      1105.12643     681.36159      127.92827      163.68115      1160.98165     530.73935      544.07325      574.55994      337.70272      1576.38218     446.60408      336.07223      2929.37477     293.68634      955.01555      1097.33197     195.93400      913.66005      181.03102      1047.45208     459.98490      588.66343      564.70331      1449.12685     914.30527      546.01298      1549.58526     1338.73910     450.74394      180.62547      614.74586      440.19620      456.10312      169.76674      507.75474      1381.35753     637.79875      340.41500      910.92957      739.48246      1270.11768     419.49970      1255.64239     479.21350      859.90357      1131.11268     327.58072      782.22967      829.14826      947.82041      837.42511      652.34951      474.41423      827.77336      820.98681      617.42335      931.60466      1044.63418     255.98896      974.04524      729.63389      210.63640      321.22417      215.19713      876.25026      535.11653      
1962 09 30 110.19063      112.94175      276.82909      397.43031      495.34772      351.58591      354.82753      436.05992      525.92578      368.58485      246.08759      143.51271      267.94290      152.79657      177.20645      219.17557      287.27370      327.46611      297.16840      390.04393      206.87364      189.94992      289.35988      273.24616      326.88118      266.03970      147.34473      332.87372      454.48411      290.35577      315.13772      204.63546      224.58522      405.89682      248.86032      209.00546      404.17840      206.87797      412.91689      398.80624      313.81472      308.20582      270.80526      365.73060      327.87284      177.55505      628.75229      518.73749      472.20430      445.31448      238.39648      378.77014      187.77958      537.37569      370.15335      350.13840      314.84331      272.58027      285.09807      388.36073      117.64130      363.40797      398.30552      472.95526      296.85140      563.28271      338.88463      202.93536      433.29717      352.30587      748.22137      476.96140      627.46090      572.63029      421.45702      818.97707      713.58081      452.51916      82.38630       106.75124      584.54729      976.32706      146.08908      170.73917      2047.94043     429.15609      42.36071       413.96834      192.41356      101.89496      1017.06242     129.49451      512.05262      51.60613       537.38857      1146.21068     2569.31406     859.38506      107.05646      454.81635      82.10454       163.99591      242.31565      582.87758      622.89809      165.28189      810.35616      391.64056      37.54739       12.99725       507.18281      289.92422      338.09361      325.04556      168.61107      1272.15726     244.48936      122.60296      2445.06887     95.54908       579.68769      625.19020      85.23827       514.17616      66.75733       509.44485      251.70594      345.23587      319.81389      789.49092      520.73581      330.79578      924.44696      910.01297      253.56930      10.36253       363.02864      238.08786      243.46581      46.06625       287.00462      733.91474      371.13174      145.69853      515.97210      425.52118      591.59345      198.03292      645.71893      264.21440      344.68127      570.16332      139.06846      455.42144      442.09118      486.80831      435.20684      228.51280      250.21481      459.97608      460.50312      315.08834      512.42262      579.64837      95.74684       500.58199      423.70372      73.41914       140.40036      92.45586       457.08565      314.64846      
1963 09 30 298.71224      289.91952      281.02376      399.49922      473.80131      352.86408      339.37370      426.48348      656.55392      689.10957      427.10435      133.57513      472.10643      352.57894      176.06048      200.74697      255.35414      574.44011      271.48646      491.73437      452.52646      372.67976      535.82718      503.03178      521.25147      428.12799      363.80217      320.03735      437.73949      284.58220      485.77866      425.80198      453.04152      459.25452      494.36263      185.83023      615.88028      457.94277      681.41337      644.01144      433.48186      234.49746      253.25257      498.97731      610.61200      162.56116      722.17956      506.82928      460.98079      467.72008      204.39309      361.52310      167.47213      758.45876      633.40391      674.59478      625.93103      512.91306      289.79975      518.49665      115.52611      518.76642      569.74509      800.61473      282.83838      575.75848      482.44058      197.29708      598.83754      381.45234      851.64414      528.98045      750.42036      738.39140      400.72250      986.96800      911.00161      487.49765      70.29633       91.65535       720.93722      1068.34841     135.85273      152.24292      2220.15329     628.61066      29.85031       451.96936      181.02783      84.39330       1055.05178     120.56652      725.96141      39.48821       646.50994      1226.24935     2832.79623     777.25549      90.21507       501.23158      81.17746       163.63898      239.15127      742.01929      834.21555      159.01268      730.52484      476.27732      34.45108       8.16528        881.03734      337.03281      372.64562      391.96203      170.09148      1333.59927     238.92819      125.15580      2631.83152     105.76003      618.82325      889.27543      103.12643      606.59495      62.80534       839.49306      269.59072      365.01265      355.93806      1104.00589     609.70932      337.73506      1137.40991     1226.61138     239.65254      10.19406       379.36050      237.19456      243.83491      50.91516       296.49118      1044.18923     409.24499      146.74130      571.68964      465.27208      946.66660      203.10279      955.34853      244.60072      721.26822      794.76368      136.18916      517.57626      514.01920      802.03852      576.50979      561.07488      240.08507      559.56813      432.99837      398.38142      682.98712      852.31266      97.42506       821.83147      472.70219      78.79741       150.77080      99.52022       626.32839      332.26902      
1964 09 30 267.95824      279.64854      491.51296      674.82240      813.24514      626.14957      610.03890      697.88294      804.12452      725.31438      485.13076      320.99366      554.65463      312.36998      363.36883      408.85798      538.28252      608.70294      548.63239      707.85943      431.79429      459.17579      505.54911      523.68720      587.53664      454.10961      401.15454      607.33139      747.99774      526.14491      512.67465      493.52701      558.77718      727.34195      551.13181      414.07632      694.16117      529.77608      717.53704      629.27867      556.07001      478.42854      518.24562      640.76957      648.93569      409.96751      908.62477      945.53274      871.49975      836.94558      485.30748      696.63419      379.17592      807.48908      672.89933      687.82575      656.96226      533.16861      578.26404      639.30540      273.01427      618.07842      621.50041      799.12472      565.81849      1051.45430     554.41527      470.15625      758.43355      639.57809      1024.51705     914.55899      882.02697      860.84037      783.21676      1147.74678     1024.23077     827.57430      290.70331      295.53246      960.67926      1244.85286     407.68902      462.09284      2287.27214     697.30309      204.72571      746.24233      427.33737      341.66070      1224.74150     371.69342      846.35237      251.13028      950.18854      1422.75885     2754.48848     1415.71367     299.01091      885.80595      364.88201      373.44342      565.69498      1012.74390     1022.64132     465.42394      1327.63140     740.49572      233.14482      256.15634      953.17691      620.24812      675.94127      698.81922      499.94003      1542.12415     562.11003      441.44467      2803.78658     399.06438      1135.98385     974.85976      146.65738      993.46372      286.00399      920.67669      563.14288      720.53643      709.58305      1212.29261     1078.14300     643.31844      1366.85651     1254.23469     602.41560      275.11817      715.26880      554.84193      573.00137      263.03722      609.06070      1182.76070     792.43925      453.17118      1034.07263     821.25111      1152.40339     548.71652      1121.88260     603.63427      777.37070      979.37216      461.61910      875.23246      986.56989      867.80772      801.80454      588.75049      633.20362      907.38710      919.19970      777.21427      867.54479      994.12002      396.06552      890.68796      822.53627      306.48166      467.41252      300.24238      954.13221      676.87756      
1965 09 30 89.93193       86.56344       441.35102      592.81115      724.95996      523.64521      418.65981      605.25792      672.57531      568.04804      457.58827      320.01633      457.79469      111.62145      370.45986      365.40061      448.48406      526.34661      496.89513      431.19345      172.19238      344.57356      227.19674      387.33633      466.85793      219.35489      230.91051      547.74813      649.69532      463.47740      249.12440      308.43386      376.51167      435.71994      467.87295      385.53002      558.60757      344.45032      557.44036      358.51726      328.97975      401.08172      479.73655      397.37542      490.50292      392.17153      773.48046      704.31430      547.61602      680.19895      452.67139      615.47825      320.86803      509.49347      453.03770      546.83977      513.20531      447.72155      520.46850      387.14116      259.60377      375.69722      344.10163      635.42292      518.18709      764.24942      306.79161      453.65035      447.00405      448.06801      881.74549      549.14943      761.21226      745.71011      691.83807      897.28434      876.56905      517.84178      276.40927      290.85460      608.10771      1028.65133     399.21623      431.97518      2185.86324     384.59858      228.94350      520.94478      407.30084      332.51977      1056.87532     338.14000      481.61952      201.99140      589.98379      1194.36337     2901.39067     989.73672      276.76351      610.94877      326.62830      342.95593      505.19343      643.17021      658.17014      434.58895      975.59138      506.66219      222.89625      205.28436      623.27372      427.21157      632.64038      628.91201      457.53550      1209.54182     554.77252      381.27216      2638.90031     345.35828      771.54763      606.72681      129.06416      626.27233      309.74044      590.36936      498.44999      677.43984      594.71381      885.87525      669.20630      574.97506      1081.27754     1031.51276     527.60723      198.87427      597.11477      541.51100      563.81834      308.69520      555.46501      952.47035      590.61092      426.14486      660.10255      568.25964      731.88282      473.52222      834.90420      433.22752      512.00301      592.84287      466.09720      552.44852      592.87627      532.96988      507.85591      414.85673      545.46605      529.49427      568.69701      505.27327      511.03500      568.35941      334.54916      485.23529      468.82542      306.32077      426.12448      199.05728      506.52755      605.69900      
