       Date Drainage_3    Drainage_ 5    Drainage_ 6    Drainage_ 7    Drainage_ 8    Drainage_ 9    Drainage_ 11   Drainage_ 12   Drainage_ 13   Drainage_ 14   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 18   Drainage_ 19   Drainage_ 20   Drainage_ 21   Drainage_ 22   Drainage_ 23   Drainage_ 24   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 28   Drainage_ 29   Drainage_ 30   Drainage_ 31   Drainage_ 32   Drainage_ 33   Drainage_ 34   Drainage_ 35   Drainage_ 36   Drainage_ 37   Drainage_ 38   Drainage_ 39   Drainage_ 40   Drainage_ 41   Drainage_ 42   Drainage_ 43   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 47   Drainage_ 48   Drainage_ 49   Drainage_ 50   Drainage_ 51   Drainage_ 52   Drainage_ 53   Drainage_ 54   Drainage_ 55   Drainage_ 56   Drainage_ 57   Drainage_ 58   Drainage_ 59   Drainage_ 60   Drainage_ 61   Drainage_ 62   Drainage_ 63   Drainage_ 64   Drainage_ 65   Drainage_ 66   Drainage_ 67   Drainage_ 68   Drainage_ 69   Drainage_ 70   Drainage_ 71   Drainage_ 72   Drainage_ 73   Drainage_ 74   Drainage_ 75   Drainage_ 76   Drainage_ 77   Drainage_ 78   Drainage_ 79   Drainage_ 80   Drainage_ 81   Drainage_ 82   Drainage_ 83   Drainage_ 84   Drainage_ 85   Drainage_ 86   Drainage_ 87   Drainage_ 88   Drainage_ 89   Drainage_ 90   Drainage_ 91   Drainage_ 92   Drainage_ 93   Drainage_ 94   Drainage_ 95   Drainage_ 96   Drainage_ 97   Drainage_ 98   Drainage_ 99   Drainage_ 100  Drainage_ 101  Drainage_ 102  Drainage_ 103  Drainage_ 104  Drainage_ 105  Drainage_ 106  Drainage_ 107  Drainage_ 108  Drainage_ 109  Drainage_ 110  Drainage_ 111  Drainage_ 112  Drainage_ 113  Drainage_ 114  Drainage_ 115  Drainage_ 116  Drainage_ 117  Drainage_ 118  Drainage_ 119  Drainage_ 120  Drainage_ 121  Drainage_ 122  Drainage_ 123  Drainage_ 124  Drainage_ 125  Drainage_ 126  Drainage_ 127  Drainage_ 128  Drainage_ 129  Drainage_ 130  Drainage_ 131  Drainage_ 132  Drainage_ 133  Drainage_ 134  Drainage_ 135  Drainage_ 136  Drainage_ 137  Drainage_ 138  Drainage_ 140  Drainage_ 141  Drainage_ 142  Drainage_ 143  Drainage_ 144  Drainage_ 145  Drainage_ 146  Drainage_ 147  Drainage_ 148  Drainage_ 149  Drainage_ 150  Drainage_ 151  Drainage_ 152  Drainage_ 153  Drainage_ 154  Drainage_ 155  Drainage_ 156  Drainage_ 159  Drainage_ 161  Drainage_ 162  Drainage_ 163  Drainage_ 164  Drainage_ 165  Drainage_ 166  Drainage_ 167  Drainage_ 168  Drainage_ 169  Drainage_ 170  Drainage_ 171  Drainage_ 172  Drainage_ 173  Drainage_ 175  Drainage_ 176  Drainage_ 177  Drainage_ 178  Drainage_ 179  Drainage_ 180  Drainage_ 200  
1956 09 30 399.42981      398.53772      793.37900      876.52182      975.98094      1003.88106     861.39031      967.42469      1022.62890     1008.66709     694.58482      670.91392      692.07529      398.56213      582.93372      576.72052      618.99724      908.32771      581.52039      685.17007      522.35742      570.41226      674.93370      695.29391      758.76105      552.97114      507.07092      846.98206      757.39241      565.95234      542.55077      581.14316      708.07733      682.44698      739.72444      593.55242      849.57676      619.98666      971.30953      774.29857      472.84200      700.94442      848.91103      648.68376      845.53385      569.61877      1098.72962     1133.03185     972.82861      1052.68496     656.87834      1105.31857     568.77662      926.64240      771.95637      864.98671      803.89895      763.37452      780.76805      556.36061      533.74857      581.65704      696.13458      990.28028      563.80499      1168.60897     556.80755      695.45347      664.55488      901.84021      1319.31726     979.30832      1066.98017     926.05222      916.10218      1207.21039     1186.24484     778.44416      503.88539      544.02223      818.69647      1232.76420     628.91216      526.63051      2150.20135     738.17713      433.10712      868.80190      789.07997      602.10573      1163.44808     634.64428      840.14362      450.53210      796.49058      1436.08366     2421.43525     1299.82529     576.94583      1147.67351     588.85858      620.18311      893.09906      783.51060      897.86111      835.06513      1327.80907     884.56871      419.93187      508.02027      1104.75984     1048.34171     990.92663      1095.60802     902.12464      1629.49463     916.74786      720.69279      2387.39008     683.97656      1158.46075     1048.22628     192.14394      886.85628      354.33484      1132.89082     753.01456      871.07596      1068.96436     1453.14573     1024.69789     712.55866      1520.49712     1382.74155     889.56872      532.98982      826.87226      906.33265      865.17409      363.83231      924.45857      1405.59144     1112.61999     743.17241      1047.69697     1132.45207     1221.27916     875.25254      1284.74094     961.73289      876.85128      944.24733      646.07341      969.36925      1136.12350     1060.54361     884.87817      833.06934      776.70254      954.11541      987.66204      1008.14589     945.08270      1074.30132     600.78518      968.98825      984.46240      563.68498      690.61782      609.14383      862.83608      761.95670      
1957 09 30 347.00709      349.52668      575.50595      630.89441      711.82097      748.82924      712.65980      739.51572      931.60361      877.14254      607.95682      486.34244      610.64119      380.06756      418.84904      430.20044      465.50852      767.85655      441.98491      702.43539      468.25117      498.76086      569.83788      591.27427      656.32078      482.92886      432.09129      607.92913      592.14001      434.68101      565.31252      510.79454      585.04943      701.12411      663.95962      454.14285      743.62693      508.18969      820.76973      776.25745      556.20804      512.07889      609.65970      716.33804      770.44497      408.69641      974.70773      880.05034      888.57360      766.58820      472.88723      855.26615      430.00463      954.78232      757.69427      821.49772      729.59083      708.86586      569.29580      613.90066      390.55157      656.16734      714.16786      924.89704      469.68804      932.36242      613.10389      505.10808      771.20143      744.82861      1174.00989     903.41306      1003.22244     892.24336      699.18422      1190.23608     1168.34991     762.65406      364.34080      396.43578      922.25184      1238.55512     446.59236      367.01983      2267.89773     801.06492      295.65709      739.73603      554.86508      405.74547      1176.96791     433.62102      967.60702      310.04677      902.50901      1467.60051     2570.13756     1014.91259     433.07820      966.09624      385.96742      477.61621      650.02288      909.75602      1020.69428     576.14282      1055.54065     756.56801      263.92601      329.08484      1089.99588     841.37653      771.68159      851.96217      644.82318      1698.08507     661.05578      487.21943      2511.37939     431.43372      1034.07623     1181.35185     175.02801      914.53738      199.09641      1057.83189     510.74761      639.18502      786.70671      1444.24045     1020.62041     499.60847      1540.62178     1427.82230     624.58275      335.13149      574.88387      640.45477      607.48743      192.31593      673.52821      1371.53641     856.54789      490.66094      941.13286      944.06802      1219.24266     606.38854      1300.47554     735.67060      911.29330      1046.58981     406.62248      897.72973      916.28098      1078.50830     1032.38639     758.49869      550.32396      984.45446      839.67269      747.01986      1075.28479     1190.88373     360.19021      1137.99768     1006.24996     323.62447      411.73290      404.52157      998.48835      558.63666      
1958 09 30 261.23555      230.57910      387.03827      436.75371      474.88638      524.42925      536.59393      497.39465      754.36412      728.10634      452.22685      315.86225      427.71425      269.83221      275.07463      278.37681      276.21396      603.83340      250.44121      616.78035      360.61395      338.65604      430.42007      497.61994      502.66427      380.96762      293.09898      385.49387      347.68231      271.98617      484.67205      344.46925      405.98436      611.38410      477.34552      266.92191      554.19037      314.57116      654.57588      697.60834      519.09500      333.63922      389.83225      690.10793      576.83867      249.48046      736.22693      585.64521      685.09123      523.73072      276.56752      534.14028      259.90479      846.74154      554.55548      632.87695      535.90886      555.25464      351.97593      590.27917      250.87794      634.11404      616.41068      686.06120      226.89965      619.56451      537.21740      298.86378      730.35384      514.35325      912.50619      668.02889      748.43877      623.16063      427.82239      907.37970      842.08788      598.89508      194.92288      218.30960      858.37067      998.05879      262.99440      203.83015      2315.03300     646.20125      161.79452      530.84824      380.36834      227.64741      998.57903      257.81549      843.51896      151.25219      848.62571      1192.50388     3129.69916     715.39717      289.53901      664.92296      218.95861      270.35770      427.79799      785.44918      914.94334      380.09663      700.46729      583.71485      128.01871      180.65131      753.20772      589.35499      472.79082      516.28759      436.55732      1315.49418     433.85193      288.11727      2900.12305     248.60136      709.27929      982.31285      133.42991      730.12559      87.30766       740.62867      312.41645      388.42980      505.58266      1048.68960     732.30045      291.61705      1117.41355     1052.52263     414.64444      188.03362      348.47729      431.97469      398.26735      91.36888       445.11010      989.46573      529.99970      293.61132      665.76271      679.38271      841.82775      402.70318      949.82678      499.90987      606.14448      877.28323      236.95318      667.87424      585.75178      765.63678      904.27100      478.72232      280.95677      779.73484      577.35093      449.66327      913.46424      978.16934      203.02122      943.50813      776.75899      187.90647      282.21772      236.40032      799.73013      323.26501      
1959 09 30 550.10241      547.26310      886.76445      971.66964      1116.74512     1162.36964     1086.12377     1106.50054     1237.40514     1198.99089     874.46986      723.80150      903.63348      593.29562      612.92737      611.20477      659.46747      1082.88664     681.17049      1151.98576     788.06055      761.46205      891.83353      897.49241      978.46680      796.86590      686.13906      951.36158      864.50790      628.81386      881.54025      787.45944      894.67856      1162.90529     956.81380      670.39034      1080.31442     826.74567      1169.56057     1098.49299     860.81476      717.73094      964.65459      1054.23573     1073.93516     675.35534      1321.20450     1392.30695     1364.31199     1261.56681     771.40335      1292.48440     631.32042      1310.33942     1077.55286     1139.47064     1019.66949     999.47267      917.02889      1010.03819     582.64895      1021.71249     1019.30648     1226.57918     676.96612      1468.55440     908.56851      847.59344      1237.29761     1154.08287     1513.12544     1516.91990     1306.34985     1200.05494     1049.90485     1503.10123     1474.94660     1266.88412     598.42264      624.30625      1393.57685     1557.17758     746.98142      660.70526      2726.77530     1219.54285     499.78275      1080.94316     913.27341      767.51373      1532.80423     813.91607      1388.49028     538.83763      1393.26326     1860.89947     3033.46365     1719.50038     672.96545      1484.18289     730.72850      746.61503      1059.01029     1357.56830     1432.59078     1018.76764     1691.63377     1157.65325     493.22690      628.78732      1439.18601     1315.81037     1121.01694     1294.63013     1115.46826     2105.36926     1069.37725     878.34774      3143.50010     806.75897      1687.56382     1590.98170     208.90684      1409.28062     442.34279      1449.94246     888.44112      1000.72476     1216.09859     1798.57002     1692.46942     862.75167      1913.90964     1768.28183     1045.01130     639.25978      974.64569      1061.74910     1006.65704     397.31483      1061.94525     1731.67767     1330.01766     880.64282      1537.82303     1408.76718     1518.69534     1071.70029     1653.48074     1103.19007     1166.79806     1459.78586     730.67544      1345.11355     1454.02517     1425.58644     1410.17066     978.66542      934.40805      1408.07280     1313.93101     1204.20132     1461.71923     1570.19119     688.81503      1437.72692     1368.80436     592.18457      741.47510      678.24883      1505.44875     877.51226      
1960 09 30 362.74803      375.71751      619.84691      705.99076      749.49886      800.32493      733.13172      773.79153      1024.42299     907.58663      669.35947      507.51629      692.44789      388.78354      429.93417      422.12034      456.44774      819.23639      415.68146      764.92698      534.67342      572.12530      613.96426      662.50552      750.27626      560.02769      506.46099      669.55362      658.59187      430.76641      624.40719      578.43748      649.40045      750.36573      730.33053      454.99589      879.27385      576.32729      918.82938      811.78900      592.16929      564.85225      689.87248      773.43836      837.96908      428.15551      1115.88935     948.97124      879.53957      843.68335      510.51886      852.09934      434.12035      984.04684      790.97248      853.92797      745.68759      743.93591      617.67488      663.77526      409.69464      695.86598      730.19204      1020.96327     408.92849      960.53106      636.79062      537.84319      873.69040      783.82154      1317.64004     893.46141      1133.72101     1019.55435     730.66907      1328.77493     1258.36971     776.49060      383.52591      406.79169      1005.15353     1389.98024     482.28773      388.48899      2621.89826     810.36846      330.62619      762.81121      602.35371      459.62681      1378.45836     485.64061      991.97594      333.70672      963.28114      1656.68005     3084.59099     1117.57844     457.84735      988.05000      459.48120      497.43060      721.32443      913.56286      1031.55274     650.86295      1121.97803     758.38022      308.48144      396.40142      1080.45821     865.48250      774.10684      859.08242      730.53169      1882.36289     729.65370      566.31997      3103.50302     517.60104      1014.23641     1139.10734     175.51631      893.39239      235.02932      1049.60774     565.68262      669.17785      856.33080      1471.22123     1015.68098     528.80016      1572.69824     1569.92372     695.38108      411.83845      647.35583      707.68234      674.63673      269.48988      726.59154      1386.27396     901.96601      563.24944      943.50447      951.83771      1194.92042     681.10246      1263.12234     772.96863      864.52476      1023.29480     484.04583      849.71135      924.53324      1035.43037     974.74165      706.75293      576.23905      961.59363      849.87079      755.20361      1065.95094     1106.58135     431.19311      1079.46473     942.46753      405.26137      498.41024      464.11888      966.52401      557.73375      
1961 09 30 478.02085      501.43415      735.73221      795.49516      865.52915      920.99932      854.92689      875.71339      959.06674      869.78465      706.95919      632.40397      844.94437      523.73381      572.79753      564.09974      577.74873      818.38827      533.00795      979.44911      729.88344      643.72083      872.76157      751.11064      831.61927      790.79026      609.60525      736.01699      703.02798      562.38692      891.00366      726.36461      824.37362      961.07668      810.26603      551.73150      920.44026      754.59551      971.55612      1021.99154     823.34979      634.04572      731.18707      999.77253      959.51352      499.08249      1084.16602     1045.88118     1133.45636     936.74948      557.03004      959.72151      529.02644      1214.22849     973.15457      978.28060      878.67960      804.48182      665.14773      925.77135      499.67123      965.42213      945.96817      1108.97884     504.94249      1096.35048     885.73012      584.46250      1135.37481     892.25976      1268.32454     1152.30450     1112.54818     1083.74216     787.04543      1341.61640     1348.09908     979.19600      447.77749      476.14041      1300.43407     1414.25507     517.57674      433.08705      2811.91350     1058.33012     372.51065      872.02447      663.28136      495.05510      1436.70126     525.84566      1272.26497     374.74641      1211.49800     1725.11065     3521.48706     1312.32293     529.45046      1193.10242     494.02234      565.87779      781.49251      1152.04895     1324.50348     706.77354      1261.10739     898.01234      334.74779      423.31198      1409.35720     1047.46707     851.32973      953.66236      783.16944      1946.38125     790.71358      616.24004      3503.96629     564.83095      1303.16334     1430.87593     202.37200      1140.90555     255.76528      1332.22885     631.30262      743.44384      941.35795      1716.84737     1353.39843     603.32096      1764.88924     1593.11376     776.62180      451.69394      719.17866      784.40915      755.15830      280.87384      809.99416      1595.92965     1044.34759     628.64280      1233.21714     1176.64781     1460.32800     777.57324      1486.37342     896.00142      1009.87237     1380.88735     518.26410      1079.36558     1129.92145     1240.30286     1267.53251     823.76656      636.19376      1214.07708     1105.76548     893.25660      1375.52046     1423.21925     467.70040      1336.67438     1125.84889     428.85037      543.71094      508.31898      1258.57228     628.83637      
1962 09 30 225.53731      246.79066      531.23184      577.54451      597.74513      645.42217      596.51898      623.71088      728.57351      579.01864      415.10821      437.83432      480.14846      260.19608      357.78001      355.36645      362.20369      505.80787      325.33492      592.84609      360.61237      322.60634      461.52080      409.00751      533.23175      434.13899      279.75829      538.68704      473.10630      351.63981      490.74363      341.78295      395.50540      588.24342      459.87956      373.57365      637.37300      347.33376      650.95130      607.93268      446.81877      492.27630      551.28825      567.08775      576.31249      343.85161      842.02592      721.56775      738.80600      639.19236      396.81464      688.82966      363.44198      759.76326      544.38174      563.21025      504.42482      456.78013      494.37030      513.76328      347.30312      528.42681      569.37218      726.91883      319.04832      747.83966      494.57489      422.52781      618.00087      631.12805      1006.29549     747.04053      844.95825      783.62458      582.57531      1038.43350     973.17670      614.25927      301.76735      332.22782      726.97981      1136.45148     367.55710      273.53796      2299.45978     645.54705      262.37282      574.75045      467.77545      342.63911      1177.00296     360.97664      744.77585      244.05668      692.57737      1394.99963     2822.05219     982.68961      371.89304      794.47957      319.53612      399.14108      551.20411      651.18600      749.60643      487.40349      976.13519      562.81451      211.13736      273.26483      780.19951      703.01275      590.08821      659.98566      550.65133      1551.46467     543.33985      408.13754      2781.79462     360.81864      863.51016      884.23817      91.16620       691.21203      133.38120      745.56627      402.05975      487.89590      641.69370      1096.54036     848.35397      372.45792      1216.55326     1205.94898     501.13214      272.02236      472.39154      525.93037      481.19167      139.58365      543.35946      1030.79543     713.55122      395.83362      765.86894      771.79973      834.52157      476.09444      913.32981      613.24076      540.37399      774.51707      292.84329      683.66742      680.02973      728.15711      753.79830      382.35861      388.53373      749.42765      659.32573      533.01337      824.41363      875.37791      269.29460      775.42103      712.73794      262.98564      310.50080      332.94384      730.76472      426.20174      
1963 09 30 409.83773      413.10136      445.02793      495.36658      529.86754      581.72302      534.37751      548.43415      845.62680      801.77038      541.84625      360.79608      538.69815      469.49623      318.83027      294.67699      286.40999      721.62183      265.90509      665.12810      639.33761      469.94863      725.58595      635.17294      566.26790      594.14339      482.25671      451.51076      416.30816      311.03283      663.37239      549.81225      597.12467      615.33211      617.70106      297.98369      653.72196      565.82651      738.17917      892.76903      546.44614      377.82046      471.78555      708.25298      692.95157      272.04271      866.17910      653.71776      674.83727      603.55454      321.08699      593.09567      303.74843      1020.75052     821.14953      815.53898      708.62670      680.67899      422.80852      621.94989      294.69275      663.49729      760.38579      840.66229      269.86986      700.61768      639.87562      342.37898      782.41833      594.86947      1046.62721     740.47998      888.84184      800.25582      505.68289      1084.76958     1042.19230     612.18932      232.08381      257.28107      848.31742      1161.47835     292.19816      207.51311      2381.73282     861.50005      193.56095      567.88127      392.06652      258.85513      1177.26790     294.02610      962.20902      181.62721      781.73981      1406.93524     3192.87008     822.80014      298.59309      764.29850      249.26163      339.70504      461.56407      785.39086      940.56074      393.24336      815.29979      604.13317      161.09715      196.43430      1029.68404     646.18819      557.78960      632.30062      447.40219      1627.27326     456.74067      325.63461      3057.92677     303.00361      833.43931      1171.87952     108.72574      752.28994      103.19953      1060.79835     359.22558      461.20666      593.47223      1335.46086     886.11290      330.64625      1331.47683     1332.27777     424.37732      213.49669      410.24837      447.97903      409.21136      120.23354      481.53489      1199.03992     670.46662      333.24055      767.49747      743.99695      1093.97940     411.90789      1136.14284     519.36866      826.47470      971.64785      252.42447      702.49309      691.18519      1078.74895     908.47891      703.63257      336.80640      843.46696      585.33849      559.05964      1027.35309     1174.69380     229.04358      1142.37540     766.27744      222.77409      274.86958      288.49140      900.60244      385.96178      
1964 09 30 437.93977      480.63943      854.91103      937.11341      1029.60993     1056.10835     966.93325      1034.47825     1029.98119     1043.51904     779.09475      733.09946      865.34952      482.52722      624.30905      609.91033      656.78627      927.09463      605.08987      994.86649      686.75874      724.69973      790.40517      782.37824      860.65991      695.04220      641.51695      919.25439      813.44448      623.85211      751.91024      749.52888      865.63172      980.61628      898.26484      666.23117      980.76230      787.90651      1039.75214     929.74644      734.35419      755.60855      941.61049      902.60107      984.13174      653.71307      1191.47755     1299.62069     1327.27113     1177.07950     745.54175      1193.66102     652.89292      1138.95306     1002.80579     1067.33903     964.95817      879.39130      885.81983      802.88356      620.27297      835.35596      871.92018      1157.19827     617.57348      1368.81592     767.64887      794.87813      1042.64059     1049.24381     1386.51881     1369.74310     1204.33109     1151.32096     1023.27059     1417.66117     1417.32946     1079.69552     607.85474      630.17142      1201.69827     1467.66360     737.18541      635.33456      2738.41682     1012.18427     520.20647      1005.91586     894.11692      725.47797      1462.47865     758.64959      1182.95946     539.12628      1208.54143     1773.88404     3200.47921     1633.77561     684.59005      1436.00817     717.25215      727.00203      1053.55882     1151.59582     1232.57764     962.44575      1602.52863     1020.92187     506.94933      633.14596      1433.34611     1217.78951     1115.58164     1234.02052     1064.91380     2046.02310     1055.29783     856.08382      3458.14752     789.21804      1597.57526     1366.38172     154.59255      1277.10813     413.63777      1369.41185     856.83339      983.49821      1221.27093     1765.53948     1643.20125     820.74099      1891.51101     1725.49549     1014.99369     651.18141      958.86471      1023.32176     982.25462      414.85027      1037.28278     1679.54231     1338.08178     851.60616      1470.13838     1386.88624     1551.51119     1000.14786     1597.05810     1127.72129     1121.23136     1293.94175     720.08808      1260.41202     1394.78968     1287.45118     1291.89362     916.31587      873.30738      1373.46272     1333.54949     1160.67567     1301.84674     1392.94450     676.95985      1279.90040     1252.08601     598.39584      743.99709      654.14424      1356.14504     840.09585      
1965 09 30 176.10945      181.96886      643.62921      694.21421      768.36911      766.34609      634.12393      763.90545      848.81059      703.27142      515.80366      614.65724      531.63692      185.81623      536.14586      478.95718      493.33511      629.54316      488.71783      592.11578      287.45481      378.69939      334.54530      444.72282      585.80459      317.56260      291.93515      694.90488      608.88736      487.46294      359.26286      376.19125      472.46184      573.92701      555.20139      547.47174      700.72090      411.35121      723.51096      493.29770      409.63259      590.09498      709.56951      536.30458      642.17182      515.90158      944.08474      856.43725      733.08543      814.16827      575.89738      887.12333      502.46252      643.09664      531.83948      638.36697      567.95988      538.67973      670.84277      440.76738      514.43071      463.72934      447.84816      802.88007      493.42997      874.45996      404.18141      618.57349      539.66956      673.05919      1119.28467     756.46144      930.34160      862.15917      793.30102      1124.70270     1055.67416     622.32674      501.23336      536.15021      668.16306      1200.12996     578.13139      503.84494      2524.05414     507.37165      461.04531      623.87578      717.04058      585.01294      1223.42330     605.48032      608.72132      418.30918      672.85145      1450.81909     3362.24570     1032.67757     578.71083      882.28161      555.59320      604.28303      810.75086      639.13675      690.40522      735.86299      1062.34110     622.21509      427.00139      475.53484      817.67653      799.32764      858.11555      924.22282      811.74410      1596.31378     839.24698      659.15928      3205.68928     614.61373      956.39049      738.60479      134.50382      717.22751      380.22993      718.46791      653.25538      778.78270      885.06620      1160.63667     897.76055      646.15090      1317.05183     1305.03264     778.85642      468.82523      683.60109      806.29146      794.37870      401.58060      777.83674      1149.13598     911.27190      681.72553      823.37851      846.46922      921.04839      763.68796      1021.85333     753.17613      646.20501      681.67614      616.24160      720.85700      783.61181      700.11508      716.87165      475.45370      646.42630      761.02354      705.50859      695.91188      697.75542      724.38404      512.32293      643.59296      738.04131      490.09762      575.49124      441.99261      692.91498      642.07221      
